単語,意味,例文,例文の訳,類義語,メモ
bearing,方位・位置関係,"Research conducted at Oxford, Sussex and Zurich Universities has shown that when desert ants return from a foraging trip, they navigate by integrating bearings and distances, which they continuously update in their heads.",オックスフォード大学、サセックス大学、チューリヒ大学で行われた研究によると、砂漠アリは採餌旅行から戻る際、方位と距離を統合して自分の頭で常に更新しながら進路を決定していることが示されました。,,
navigate by ~,〜によって進む,"Research conducted at Oxford, Sussex and Zurich Universities has shown that when desert ants return from a foraging trip, they navigate by integrating bearings and distances, which they continuously update in their heads.",オックスフォード、サセックス、そしてチューリッヒ大学で行われた研究によると、砂漠アリが餌探しの旅から帰る際には、方向と距離を統合してナビゲーションしており、その情報は頭の中で継続的に更新されることが示されています。,,
foraging,採餌,"Research conducted at Oxford, Sussex and Zurich Universities has shown that when desert ants return from a foraging trip, they navigate by integrating bearings and distances, which they continuously update in their heads.",オックスフォード大学、サセックス大学、チューリッヒ大学で行われた研究は、砂漠アリが餌探しの旅から帰ってくる際に、方位と距離を統合し、頭の中で継続的に更新してナビゲーションすることを示しています。,,
combine A with B,AとBを組み合わせる,"They combine the evidence of visual landmarks with a mental library of local directions, all within a framework which is consulted and updated.",彼らは、視覚的なランドマークの証拠を、現在位置の方向のメンタルなライブラリと組み合わせ、常に参照して更新される枠組みの中でそれらを活用しています。,,
maze,迷路,Scouts who had located food in a maze returned to mobilise their foraging teams.,迷路で食べ物を見つけたボーイスカウトは、その情報を持って集団の調査チームを組織しに戻った。,,
forager,採食者・えさを与える人,Often the foragers proceeded to the exact spot in the maze where the food had been.,しばしば、調査の人たちは、食べ物があった正確な場所へ進んだ。,,
engaged in ~,〜に関与した、従事した,"They engaged in contact sessions, at the end of which the scout was removed in order to observe what her team might do.",彼らは接触セッションに参加し、その最後にはスカウトが取り除かれて、彼女のチームが何をするかを観察した。,,
discussion centers on ~,議論の焦点は〜である,Discussion now centers on whether the route through the maze is communicated as a 'left-right sequence of turns' or as a 'compass bearing and distance' message.,迷路の経路が左右の順番での方向転換として伝達されるか、方角と距離のメッセージとして伝達されるかについて今議論が集まっています。,,
exhaustive,徹底的な・消耗させる,"During the course of this exhaustive study, Reznikova has grown so attached to her laboratory ants",この徹底的な研究の過程で、レズニコヴァは彼女の実験室のアリに非常に愛着を持っています。,,
be communicated as ~,〜として伝達される,Discussion now centers on whether the route through the maze is communicated as a 'left-right sequence of turns' or as a 'compass bearing and distance' message.,今、議論は、迷路を通る経路が左右の順番に曲がるとして伝えられるべきか、コンパスの方向と距離メッセージとして伝えられるべきかに焦点が当てられています。,,
grow attached to,～に愛情を感じる・～にこだわる,"During the course of this exhaustive study, Reznikova has grown so attached to her laboratory ants",この徹底的な研究の過程で、レズニコワは彼女の実験室のアリたちに非常に愛着を持ってしまいました。,,
aphid,アブラムシ,Aphids can quickly reproduce and damage plants in large numbers.,アブラムシは迅速に繁殖し、大量に植物を害することがあります。,,
interbreeding,異種交配,Interbreeding between different species can result in offspring with unique characteristics.,異なる種の交配は、独自の特徴を持つ子孫をもたらすことがあります。,,
secretion,分泌,The pancreas is responsible for the secretion of insulin in the body.,膵臓は体内でのインスリンの分泌に責任があります。,,
have placed A on B,AをBの状態にした,"A number of techniques developed since the 1950s, however, have placed the study of these subjects on a sounder and more objective footing.",しかし、1950年代以降に開発されたいくつかの技術により、これらの分野の研究はより堅固で客観的な基盤に置かれています。,,
on ~ footing,〜な基盤・立場・状態で,"A number of techniques developed since the 1950s, however, have placed the study of these subjects on a sounder and more objective footing.",1950年代以降に開発されたいくつかの技術は、しかし、これらの主題の研究をより堅実で客観的な基盤に置いています。,,
sound,健全な,"A number of techniques developed since the 1950s, however, have placed the study of these subjects on a sounder and more objective footing.",1950年代以降に開発されたいくつかの技術は、これらの主題の研究をよりしっかりと客観的な基盤に置いています。,,
recent work on ~,〜に関する最近の研究,Recent work on the problem of when people first entered the Americas is an example of the value of these new techniques.,最近のアメリカ大陸への人々が最初に入国した時期の問題に関する研究は、これらの新しい技術の価値の例です。,,
come from ~,〜から得られる・〜に基づく,New clues have come from research into genetics.,遺伝学の研究から新しい手がかりが得られました。,,
is an example of ~,〜の一例である,Recent work on the problem of when people first entered the Americas is an example of the value of these new techniques.,人々が最初にアメリカ大陸に入った時期の問題に関する最近の研究は、これら新しい技術の価値の例です。,,
variant,変異している・異形の・変異体,"An important project, led by the biological anthropologist Robert Williams, focused on the variants (called Gm allotypes) of one particular protein — immunoglobin γ — found in the fluid portion of human blood.",生物人類学者ロバート・ウィリアムズによって率いられた重要なプロジェクトは、人間の血液の液体部分に見られる特定のタンパク質である免疫グロブリンγの変異体（Gmアロタイプと呼ばれる）に焦点を当てていました。,,
calibrate,調整する・測定する,"Thus, by comparing the Gm allotypes of two different populations (e.g. two Indian tribes), one can establish their genetic 'distance', which itself can be calibrated to give an indication of the length of time since these populations last interbred.",したがって、2つの異なる人口（例えば2つのインドの部族）のGmアロタイプを比較することにより、それらの遺伝的距離を確立することができ、その遺伝的距離は直近にこれらの人口が交雑した時期の長さの指標を提供するために較正され得る。,,
anthropologist,人類学者,"An important project, led by the biological anthropologist Robert Williams, focused on the variants (called Gm allotypes) of one particular protein — immunoglobin γ — found in the fluid portion of human blood.",重要なプロジェクトは、生物人類学者のロバート・ウィリアムズが率い、人間の血液の液体部分に見られる1つの特定のタンパク質である免疫グロブリンγのバリアント（Gm全型と呼ばれます）に焦点を当てました。,,
give an indication of …,〜の目安を与える,"Thus, by comparing the Gm allotypes of two different populations (e.g. two Indian tribes), one can establish their genetic 'distance', which itself can be calibrated to give an indication of the length of time since these populations last interbred.",したがって、二つの異なる集団（例えば2つのインドの部族）のGmアロタイプを比較することにより、これらの集団が最後に交配した時点からの経過時間の指標を与えることができます。,,
interbreed,交配する・混血する,"Thus, by comparing the Gm allotypes of two different populations (e.g. two Indian tribes), one can establish their genetic 'distance', which itself can be calibrated to give an indication of the length of time since these populations last interbred.",したがって、2つの異なる集団（例：2つのインドの部族）のGmアロタイプを比較することにより、その集団間の遺伝的距離を確立することができ、その距離自体が、これらの集団が最後に交配した時間の長さを示す目安としてキャリブレーションされる可能性があります。,,
one of which …,そのうちの一つは〜,"They found that their Gm allotypes could be divided into two groups, one of which also corresponded to the genetic typing of Central and South American Indians.",彼らは、自分たちのGmアロタイプが2つのグループに分かれることがわかった。そのうちの1つは中南米のインディアンの遺伝子型とも一致していた。,,
correspond to ~,～に一致する・～に対応する,"They found that their Gm allotypes could be divided into two groups, one of which also corresponded to the genetic typing of Central and South American Indians.",彼らは、彼らのGmアロタイプが2つのグループに分割できることを見つけました。1つは中南米インディアンの遺伝子型とも一致していました。,,
deduce,～を推定する・～を推測する,From this evidence it was deduced that there had been three major waves of migration across the Bering Strait.,この証拠から、ベーリング海峡を横断する移民の大波が3つあったことが導き出されました。,,
be ancestor to ~,〜の先祖である,"The first, Paleo-Indian, wave more than 15,000 years ago was ancestral to all Central and South American Indians.",１つ目のパレオ・インディアンの波は、１５０００年以上前に中南米のインディアンの祖先でした。,,
peninsula,半島,Maya Indians on the Yucatán peninsula,ユカタン半島のマヤ族,,
