単語,意味,例文,例文訳,類義語,メモ
intent,意図,"She spoke with good intent, hoping to clarify the misunderstanding.",彼女は良い意図を持って話し、誤解を解消しようとしていました。,,
intense,強烈な,The intense heat made it difficult to stay outside for long.,激しい暑さのため、外に長く滞在するのは難しかったです。,,
intellectual,知的な,She impressed everyone with her sharp intellectual insights during the debate.,ディベート中に彼女の鋭い知的洞察力でみんなを感心させました。,,
intercept,妨害する,The police were able to intercept the smugglers before they crossed the border.,警察は密輸業者たちが国境を越える前に妨害することができました。,,
interfere,干渉する,I prefer not to interfere in other people's personal matters.,他人の個人的な問題に干渉することは好みません。,,
intermediate,中級の,He enrolled in an intermediate Japanese language course to improve his skills.,彼は自分のスキルを向上させるために中級の日本語コースに入学しました。,,
interpret,通訳する,I interpret conversations between English and Japanese speakers as a professional translator.,英語と日本語を話す人々の会話を、プロの翻訳者として通訳します。,,
interval,間隔,Please make sure to wait for the appropriate interval before taking your next dose of medication.,次の服用まで、適切な間隔を保つようにしてください。,,
interrupt,中断する,"I'm sorry, the sentence must be written in English to meet your request. Here is a sentence that accurately reflects the first meaning of ""interrupt"":
""The storm interrupted our picnic.""","申し訳ありませんが、リクエストに応じるためには英語で文を書かなければなりません。以下は、interruptの最初の意味を正確に反映した文です:
嵐が私たちのピクニックを中断しました。",,
intervene,介入する,The police had to intervene to break up the fight.,警察は戦いを止めるために介入しなければなりませんでした。,,
inventory,在庫,We need to update the inventory to accurately reflect the available stock.,在庫を正確に反映するために在庫を更新する必要があります。,,
intimate,親密な,They shared an intimate moment by the fireplace.,彼らは暖炉のそばで親密な瞬間を共有しました。,,
investigate,調査する,The police will investigate the mysterious disappearance of the antique jewelry.,警察は古びた宝石の謎の失踪を調査します。,,
invoice,請求書,Please make sure to pay the invoice by the due date.,期日までに請求書の支払いをお願いします。,,
invoke,行使する,He decided to invoke his right to remain silent during the questioning.,尋問中に沈黙権を行使することを決めました。,,
investor,投資家,The investor decided to diversify their portfolio by putting money into various industries.,投資家は、さまざまな産業に資金を投入することでポートフォリオを多様化することにした。,,
irrelevant,無関係の,The information you provided is irrelevant to the current discussion.,提供された情報は、現在の議論に関係ありません。,,
involve,関与させる,Her decision to involve her parents in the planning process proved to be very beneficial.,彼女が両親を計画の過程に巻き込むことを決めたことは、非常に有益であると証明されました。,,
joint,共同の,They all reached a joint decision to move forward with the project.,彼らは皆、プロジェクトを進めるという共同の決定に至った。,,
justify,正当化する,She tried to justify her actions to her parents by explaining her reasoning.,彼女は理由を説明して両親に自分の行動を正当化しようとしました。,,
jeopardize,危険にさらす,Ignoring safety guidelines can jeopardize the success of the project.,安全ガイドラインを無視すると、プロジェクトの成功が危険にさらされる可能性があります。,,
keynote,基調,The keynote address set the tone for the conference.,基調講演が会議の雰囲気を決定づけました。,,
knowledgeable,博識な,She is known for being knowledgeable in a variety of subjects.,彼女はさまざまな分野に精通していることで知られています。,,
labor,労働,The workers dedicated long hours of labor to complete the project on time.,労働者たちは、プロジェクトを時間通りに完成させるために長時間労働しました。,,
landlord,家主,I have to speak with my landlord about extending the lease.,賃貸借契約の延長について、大家さんと話さなくてはなりません。,,
landmark,目印,The Eiffel Tower is a famous Paris landmark.,エッフェル塔は有名なパリのランドマークです。,,
lapse,失効する,"The deadline for submitting the report has passed, causing it to lapse.",報告書を提出する締め切りが過ぎてしまい、期限が切れてしまいました。,,
laundry,洗濯物,I need to do the laundry today.,今日は洗濯をしなければなりません。,,
layout,配置,The layout of the furniture in the living room is well-planned and organized.,リビングルームの家具の配置は計画的で整然としています。,,
legislate,立法化する,The government plans to legislate new regulations to protect the environment.,政府は環境を守るための新しい規制を制定する計画です。,,
legible,判読できる,The handwritten note was barely legible due to the smudged ink.,手書きのメモは、にじんだインクのためほとんど読めなかった。,,
liability,責任,The company's liability is to ensure all products meet safety standards.,会社の責任は、すべての製品が安全基準を満たすことを確認することです。,,
