単語,意味,例文,例文の訳,類義語,メモ
eminent,著名な・優れた,The eminent scientist gave a lecture at the university.,著名な科学者は大学で講義を行った。,renowned,
enrollment,登録・入学・加入,The enrollment of new students increased this year.,新入生の登録者数は今年増加した。,registration,
fire,情熱をかき立てる,The coach tried to fire the team’s motivation before the match.,コーチは試合前にチームの情熱をかき立てようとした。,inspire,
further,"さらに・もっと遠くに
促進させる・進展させる
さらなる",The new policy will further the development of education.,新しい政策は教育の発展をさらに促進するだろう。,advance,
gift,（特別な）才能・資質,She has a gift for learning languages.,彼女は語学に特別な才能がある。,talent,
head,を率いる・指揮する,He was chosen to head the research team.,彼は研究チームを率いることに選ばれた。,lead,
breakthrough,画期的な発見・飛躍的進展,The discovery was a major breakthrough in medicine.,その発見は医学における大きな画期的進展だった。,discovery,
noted,著名な・名高い,The noted professor published many important papers.,その著名な教授は多くの重要な論文を発表した。,famous,
fortune,財産・富・運,He made a fortune through business.,彼はビジネスを通して財産を築いた。,wealth,
fame,名声・評判,The athlete gained international fame.,その運動選手は国際的な名声を得た。,renown,
at the time,その当時,"At the time, this theory was widely accepted.",その当時、この理論は広く受け入れられていた。,during that period,"at that time の特徴
• 明示的に「その時点」を指す
    ◦ 「at that time」は「that（その）」が強調されるため、具体的にどの時点かを強く指し示します。
    ◦ 多くの場合、話し手が過去の特定の瞬間や期間をはっきり区別したいときに使われます。
"
viable,実行可能な・成功の見込みのある,The plan is viable with enough funding.,十分な資金があればその計画は実行可能だ。,feasible,
passing,一時的な・短い,He showed only a passing interest in the topic.,彼はその話題に一時的な興味しか示さなかった。,brief,
derive,"を引き出す・に由来させる
由来する・派生する",The word is derived from Latin.,その単語はラテン語に由来している。,originate,
bark,"木の皮・吠え声
吠える・怒鳴る",The dog’s bark was loud at night.,その犬の吠え声は夜に大きく響いた。,howl,
synthetic,人工の・合成の・総合的な,Synthetic materials are common in modern products.,合成素材は現代の製品では一般的だ。,man-made,
unsurprising,驚くべきことではない・当然の,It is unsurprising that prices have risen.,価格が上がったのは驚くべきことではない。,expected,
coal tar,"コールタール（石炭を乾留して得られる黒色の粘液状物質。化学製品や薬品の原料として使われる。）
",Coal tar is used in chemical industries.,コールタールは化学産業で使われている。,tar,
pupil,生徒,The pupil listened carefully to the teacher.,その生徒は先生の話を注意深く聞いた。,student,
take up ,取り組む・挑戦に応じる・再開する,She decided to take up a new subject.,彼女は新しい科目に取り組むことを決めた。,begin,
star,優秀な・輝かしい,He is a star student in his class.,彼はクラスで優秀な生徒だ。,outstanding,
