単語,意味,例文,例文訳,類義語,メモ
paramount,最重要の,Safety is paramount when operating heavy machinery.,重機を操作する際には安全が最優先です。,,
owing,未払いの,She couldn't finish the project on time owing to unexpected delays.,予期せぬ遅延のため、彼女は時間通りにプロジェクトを終えられませんでした。,,
participate,参加する,I will participate in the charity run next weekend.,来週末、私はチャリティーランに参加します。,,
partition,仕切る,They decided to partition the room with a temporary wall.,一時的な壁で部屋を仕切ることに決めました。,,
patent,特許,She secured a patent for her innovative design.,彼女は革新的なデザインの特許を取得しました。,,
payroll,給与,Please submit your payroll information to HR by the end of the week.,今週の終わりまでに、人事部に給与情報を提出してください。,,
perceive,認識する,She could perceive the faint sound of music coming from the distance.,彼女は遠くから聞こえるかすかな音楽の音を感じることができた。,,
penetrate,浸透する,"The raindrops slowly penetrate the soil, nourishing the roots of the plants.",雨粒がゆっくりと土壌に浸透し、植物の根を栄養で満たす。,,
percent,パーセント,The recipe calls for adding three percent milk to the mixture.,レシピには、混合物に3パーセントの牛乳を加えるよう指示があります。,,
perishable,腐りやすい,Perishable foods should be refrigerated to prevent spoiling.,生鮮食品は腐敗を防ぐために冷蔵するべきです。,,
persistent,しつこい,She was persistent in asking for a promotion at work.,彼女は仕事で昇進を求めるのに粘り強かった。,,
perspective,見方,I appreciate your perspective on the situation.,状況に対するあなたの視点を感謝します。,,
persuade,説得する,She was able to persuade her classmates to join the conservation project.,彼女はクラスメートを説得して保護プロジェクトに参加させることができた。,,
pertinent,関連のある,I will gather only the pertinent information for my presentation.,プレゼンテーションのために関連する情報のみを集めます。,,
petition,嘆願,She started a petition to save the local park from development.,彼女は地元の公園を開発から救うために請願を始めました。,,
pharmacy,薬局,I need to go to the pharmacy to pick up my medication.,薬局に行って薬を取りに行かなければいけない。,,
phase,段階,We are currently in the planning phase for the new project.,新しいプロジェクトの計画段階にいます。,,
philanthropy,慈善活動,"She is known for her tireless work in philanthropy, supporting various charitable causes.",彼女は、さまざまな慈善活動を支援する熱心な活動で知られています。,,
photon,光子,Photons are the basic units of light.,光子は光の基本単位です。,,
pilot,試験的な,The pilot study provided valuable insights for the full-scale research project.,パイロット研究は本格的な研究プロジェクトに対する貴重な示唆を提供しました。,,
plausible,もっともらしい,"His explanation was plausible, and many people believed him.",彼の説明は妥当だったので、多くの人々が彼を信じました。,,
plagiarize,盗用する,It is always wrong to plagiarize someone else's work.,他人の仕事を盗用することは常に間違っています。,,
pledge,誓約する,She made a heartfelt pledge to support the cause.,彼女はその運動を支援するという心からの誓いを立てました。,,
portfolio,作品集,She presented her impressive portfolio of artwork to the gallery owner.,彼女は、ギャラリーのオーナーに自分の印象的な作品集を披霓した。,,
portion,一部,I only ate a small portion of the pie.,パイの小さい部分だけ食べました。,,
plummet,急落する,Stock prices plummeted after the company announced its quarterly earnings.,企業が四半期の収益を発表した後、株価は急落しました。,,
portray,描写する,The artist worked diligently to portray the scenic landscape in her painting.,芸術家は、絵画で風景を丹念に描きました。,,
potential,潜在的な,She has the potential to be a great leader.,彼女には偉大なリーダーになる可能性があります。,,
postpone,延期する,The meeting has been postponed until next week.,会議は来週まで延期されました。,,
poultry,家禽,I enjoy cooking a variety of poultry dishes for family gatherings.,家族の集まりのためにさまざまな鶏料理を作るのが楽しいです。,,
precede,先行する,The appetizer will precede the main course during the dinner party.,前菜は夕食会の際にメインコースの前に出されます。,,
practicable,実行可能な,I will check if it is practicable to complete the project within the given timeframe.,与えられた期間内にプロジェクトを完了することが実行可能かどうかを確認します。,,
precision,正確さ,The surgeon performed the delicate operation with great precision.,外科医は、非常に正確に繊細な手術を行いました。,,
predator,捕食者,The predator silently stalked its prey through the dense forest.,捕食動物は密林を静かに獲物を追跡した。,,
predict,予測する,Experts predict that the global economy will continue to grow next year.,専門家は、世界経済が来年も成長し続けると予測しています。,,
predominant,優勢な,Her predominant talent in music allowed her to stand out among her peers.,彼女の音楽における優れた才能が、彼女を同世代の中で際立たせることを可能にしました。,,
preliminary,予備的な,The preliminary results of the study suggested a potential link between the two variables.,研究の予備結果は、2つの変数の間に潜在的な関連がある可能性を示唆していました。,,
premise,前提,The premise of his argument was based on solid evidence.,彼の議論の前提は堅固な証拠に基づいていた。,,
premium,保険料,The premium for my insurance policy has increased this year.,私の保険料は今年上がりました。,,
