単語,意味,例文,例文の訳,類義語,メモ
would not have any chance of ~,～する可能性がなかった,Some observers thought the Alaska salmon fisheries would not have any chance of certification,一部の観察者は、アラスカのサケ漁業には認証の可能性が全くないと考えていました。,,
in the months leading up to ~,〜に至る数ヶ月間,"Some observers thought the Alaska salmon fisheries would not have any chance of certification when, in the months leading up to MSC's final decision, salmon runs throughout western Alaska completely collapsed.",一部の観察者は、MSCの最終決定を前にした数ヶ月間、西部アラスカ全体でサケの遡上が完全に崩壊したとき、アラスカのサケ漁業が認証の可能性を持たないと考えました。,,
have a chance of,～の可能性がある,You have a chance of winning the contest.,コンテストに勝つチャンスがあります。,,
statehood,州［独立国家］である状態［の地位］,"In the Yukon and Kuskokwim rivers, chinook and chum runs were probably the poorest since statehood;",ユーコン川とクスコクィム川では、チヌークとチャムの漁獲量は州樹立以来恐らく最も貧弱だったでしょう。,,
subsistence,必要最低限の生活・自給自足,"In the Yukon and Kuskokwim rivers, chinook and chum runs were probably the poorest since statehood; subsistence communities throughout the region, who normally have priority over commercial fishing, were devastated.",ユーコン川とクスコクウィム川では、州が成立して以来おそらく最悪のチヌークとチャムの稚魚回遊があった。通常商業漁業よりも優先権を持つ地域の生活共同体は壊滅的な被害を受けた。,,
devastate,徹底的に破壊する・壊滅させる・打撃を与える,"In the Yukon and Kuskokwim rivers, chinook and chum runs were probably the poorest since statehood; subsistence communities throughout the region, who normally have priority over commercial fishing, were devastated.",ユーコン川とクスコクウィム川では、チヌークおよびチャムの漁獲量が州昇格以来おそらく過去最低だった。通常、商業漁業よりも優先されている地域の生活環境の共同体は壊滅的な打撃を受けた。,,
have nothing to do with,～と関係［関連］がない,"The crisis was completely unexpected, but researchers believe it had nothing to do with impacts of fisheries.",危機は完全に予想外でしたが、研究者はそれが漁業の影響とはまったく関係ないと考えています。,,
almost certainly,ほぼ確実に,it was almost certainly the result of climatic shifts,それはほぼ間違いなく気候変動の結果だったでしょう。,,
contend,"競う
強く主張する","Rather, they contend, it was almost certainly the result of climatic shifts",むしろ、彼らは主張する、それはほぼ間違いなく気候変動の結果であると,,
have priority over ~,〜より優先される,"In the Yukon and Kuskokwim rivers, chinook and chum runs were probably the poorest since statehood; subsistence communities throughout the region, who normally have priority over commercial fishing, were devastated.",ユーコン川とクスコクィム川では、州昇格以来おそらく最も不演だったキングサーモンとチャムの漁が行われました。通常商業漁業よりも優先権を持つ地域の生活共同体は壊滅的な被害を被りました。,,
prompted by ~,〜によって引き起こされた,"Rather, they contend, it was almost certainly the result of climatic shifts, prompted in part by cumulative effects of the El Niño/La Niña phenomenon on Pacific Ocean temperatures, culminating in a harsh winter in which huge numbers of salmon eggs were frozen.",むしろ、彼らは主張する、それはおそらく太平洋の温度に対するエルニーニョ/ラニーニャ現象の累積的な影響の一部によって部分的に引き起こされた気候変動の結果のほとんどだった。それは、凍りつくほどの厳しい冬によってサケの卵が大量に凍結した。,,
culminating in ~,～という結果に至って終わる,"Rather, they contend, it was almost certainly the result of climatic shifts, prompted in part by cumulative effects of the El Niño/La Niña phenomenon on Pacific Ocean temperatures, culminating in a harsh winter in which huge numbers of salmon eggs were frozen.",むしろ彼らは、これはほぼ確実に気候変動の結果であり、その変動は部分的にはエルニーニョ／ラニーニャ現象が太平洋の海水温に与えた累積的な影響によって引き起こされ、最終的には大量のサケの卵が凍った厳しい冬という形で頂点に達したと主張している。,,
react,反応する・対応する,the state reacted quickly,州は迅速に反応しました。,,
be granted permission to ~,～する許可を与えられた,Seven companies producing Alaska salmon were immediately granted permission to display the MSC logo on their products.,アラスカ産のサケを生産している7社は、すぐに自社製品にMSCロゴを表示する許可を受けました。,,
even those ~,〜でさえも,"However, the state reacted quickly, closing down all fisheries, even those necessary for subsistence purposes.",しかしながら、州は迅速に反応し、生活維持のために必要な漁業を含むすべての漁業を閉鎖しました。,,
be + for + 名詞（句）,「〜のためのものだ」「〜に向けられたものだ」「〜用である」,Certification is for an initial period of five years,認証は最初の期間は５年です。,,
it is plausible to suppose that ~,〜と考えるのはもっともらしい,it is plausible to suppose that we should prefer peace and quiet to noise.,騒音よりも平和と静けさを選ぶべきだと推測するのは妥当です。,,
prefer A to B,BよりAを好む,it is plausible to suppose that we should prefer peace and quiet to noise.,静かな平和を騒音よりも好むべきだと考えるのは妥当だと思われる。,,
have had the experience of ~ing,〜した経験がある,And yet most of us have had the experience of having to adjust to sleeping in the mountains or the countryside because it was initially 'too quiet’,それでも、私たちのほとんどは、あまりにも静かすぎるという理由で、初めは山や田舎での眠りに適応しなければならなかった経験があります。,,
adjust to ~,～に慣れる・順応する,And yet most of us have had the experience of having to adjust to sleeping in the mountains or the countryside because it was initially 'too quiet’,それでも私たちのほとんどは、最初はあまりにも静かすぎると感じて、山や田舎での睡眠に適応しなければならなかった経験があるでしょう。,,
cumulative,蓄積された・累積の,"Rather, they contend, it was almost certainly the result of climatic shifts, prompted in part by cumulative effects of the El Niño/La Niña phenomenon on Pacific Ocean temperatures, culminating in a harsh winter in which huge numbers of salmon eggs were frozen.",それどころか、彼らは主張する、それはほぼ確実に気候変動の結果であり、太平洋の温度へのエルニーニョ/ラニーニャ現象の蓄積的影響によって部分的に促され、多くのサケの卵が凍結した厳しい冬を迎えたことが原因だった。,,
work out problems,問題を解く,Glass and Singer (1972) exposed people to short bursts of very loud noise and then measured their ability to work out problems and their physiological reactions to the noise.,ガラスとシンガー（1972年）は、人々に非常に大きな音の短いバーストをさらして、その後、問題を解決する能力と音に対する生理的反応を測定しました。,,
disruptive,破壊的な・邪魔な,The noise was quite disruptive at first,最初はかなりの騒音がありました。,,
disruptive noise,騒音,Their disruptive noise kept me from sleeping.,彼らの騒々しい音が私の睡眠を妨げました。,,
physiological reaction,生理的反応,Glass and Singer (1972) exposed people to short bursts of very loud noise and then measured their ability to work out problems and their physiological reactions to the noise.,ガラスとシンガー（1972）は、人々を非常に大きな音の短いバーストにさらし、その後、問題を解決する能力とノイズへの生理的反応を測定しました。,,
just as well as ~,〜と同じくらいよく,the subjects were doing just as well on their tasks as control subjects who were not exposed to noise.,被験者たちは、ノイズにさらされていない対照群の被験者と同様に、自分たちの課題を同じようにうまく遂行していました。,,
control subjects,対照群の被験者,the subjects were doing just as well on their tasks as control subjects who were not exposed to noise.,被験者は、ノイズには曝露されていない統制群の被験者と同じくらい、タスクでうまくやっていた。,,
arousal,覚醒・目覚め,Their physiological arousal also declined quickly to the same levels as those of the control subjects.,彼らの生理的興奮も速やかにコントロール群の被験者と同じレベルまで低下しました。,,
decline to the same levels as ~,〜と同じレベルまで低下する,Their physiological arousal also declined quickly to the same levels as those of the control subjects.,彼らの生理的興奮もすぐに下がり、対照群の被験者と同じレベルになりました。,,
there are limits to adaptation,適応には限界がある,there are limits to adaptation,適応には限界がある,,
not unlike ~,〜に似ている,"high noise levels interfered with the performance of subjects who were required to monitor three dials at a time, a task not unlike that of an aeroplane pilot or an air-traffic controller",similar to,,
troublesome,面倒な・厄介な・困難な,loud noise becomes more troublesome if the person is required to concentrate on more than one task.,大きな音は、人が複数のタスクに集中しなければならない場合、より厄介になります。,,
interfere with,～を妨げる・～に干渉する,high noise levels interfered with the performance of subjects who were required to monitor three dials at a time,高い騒音レベルは、同時に3つのダイヤルを監視する必要がある被験者のパフォーマンスに干渉した。,,
similarly,同様に,"Similarly, noise did not affect a subject's ability to track a moving line with a steering wheel",同様に、ノイズは被験者のステアリングホイールで移動する線を追跡する能力に影響を与えませんでした。,,
tune out,気にしない、無視する,We are much more able to 'tune out' chronic background noise,私たちは慢性的な背景騒音をよりうまく遮断することができる,,
under the circumstances,「この条件の下に」「このような事情で」「そういう事情なら」,We think we will be able to make an exception under the circumstances.,状況に応じて例外を設けられると考えています。,,
chronic,慢性的な・習慣的な,We are much more able to 'tune out' chronic background noise,私たちは、慢性的な背景雑音を聞かないようにできる能力がはるかに高いです。,,
intrusion,侵入,"We are much more able to 'tune out' chronic background noise, even if it is quite loud, than to work under circumstances with unexpected intrusions of noise.",常時のバックグラウンドノイズを『遮断する』能力は、突然のノイズ侵入がある状況下で働く能力よりも大幅に高いです。,,
a portion of ~,〜の一部,all subjects performed at about the same level during the noise portion of the experiment.,a part of,,
as,～の時,"In the Glass and Singer study, in which subjects were exposed to bursts of noise as they worked on a task",ガラスとシンガーの研究では、被験者が課題に取り組んでいる間に騒音の突発的な爆発にさらされました。,,
spaced ~ apart,〜間隔で離れている・配置されている,the bursts were spaced exactly one minute apart,爆発は正確に1分間隔で起こりました。,,
proofread,校正する,the different noise conditions had quite different after-effects when the subjects were required to proofread written material under conditions of no noise.,異なる騒音条件が、被験者が騒音のない状態で文章を校正することを要求された場合には、かなり異なるアフターエフェクトがありました。,,
take one's toll on~,〜に悪影響を及ぼす,"Apparently, unpredictable noise produces more fatigue than predictable noise, but it takes a while for this fatigue to take its toll on performance.",明らかに、予測できないノイズは予測可能なノイズよりも疲労を引き起こしますが、この疲労がパフォーマンスに影響を及ぼすまでには時間がかかります。,,
predictability,予測可能性,Predictability is not the only variable that reduces or eliminates the negative effects of noise.,予測可能性が騒音の負の影響を減少または排除する唯一の変数ではありません。,,
