単語,意味,例文,例文の訳,類義語,メモ
systematic,系統的な・体系的な,"The researcher used a systematic approach to organize the experiment.The quality of the road began to deteriorate after years of heavy use.The article contained harsh invective against the government.Students were exempt from paying the additional fee.The issue became a polemic topic in academic circles.Her aptitude for mathematics was evident from an early age.He spoke unfeelingly about the accident during the interview.Prescriptivism often influences how grammar rules are taught.The theory is based on the belief that language changes over time.The new policy may impose extra costs on small businesses.The problem is inherently complex and difficult to solve.The professor propounded a new theory during the lecture.He is a strong adherent of traditional teaching methods.The results showed a deviation from the expected pattern.She is devoted to improving access to education.Researchers may encounter difficulties when collecting data.The rules were applied prescriptively in the classroom.The study identified threefold benefits of early intervention.The village lies beneath the mountain range.The committee worked to codify the new regulations.There was a dispute over the interpretation of the data.The system’s reliance on technology continues to increase.The regime was criticized for its authoritarian leadership style.The nature of the problem requires careful analysis.Participants followed the prescribed procedure strictly.This term is common in everyday usage.The nature of the material affects its durability.The substance is proscribed under international law.There was fierce competition for limited resources.The report warned that half-measures would not solve the problem.An alternative solution was proposed by the researchers.The judge pronounced the decision clearly.Teachers aim to motivate students to learn independently.The conclusion was based upon previous research.She is an advocate for environmental protection.The manager insisted on meeting the deadline.New legislation was introduced to protect consumers.Freedom of speech is a central tenet of democracy.There was strong opposition to the proposed changes.In our own time, technology has transformed education.A descriptivist studies how language is actually used.A prescriptivist focuses on rules of correct language use.The device provides a quasi-scientific explanation.He was blind to the potential risks.The reform called for radical changes to the system.The policy was criticized as elitist.Liberalism emphasizes individual freedom.The test examined auditory skills in children.Hearing impairment can affect language development.Smoking is detrimental to health.As a whole, the results support the hypothesis.The company reported a budget deficit.A preliminary report was released before the final study.The team carried out the survey over six months.The pupil showed steady academic progress.There is growing concern about climate change.The room was designed with acoustic quality in mind.It is difficult to comprehend the full impact.Land possession was transferred legally.Stress can exacerbate existing health problems.Interaction between students improves learning.Security measures were heightened after the incident.Elderly people are often vulnerable to illness.The reverberation made speech unclear.The child was diagnosed as autistic.The study focuses on neurological development.The model shows interlinking factors.There is a discrepancy between theory and practice.The disease has a genetic cause.Sensory input plays a key role in perception.Light can act as a stimulus for plant growth.It was a painful experience for the participants.The researchers attempted to quantify the results.The news was distressing to the community.The data is indicative of a wider trend.The change adversely affected performance.Disinhibition can lead to risky behavior.Noise causes distraction during study.The test helps screen out unsuitable candidates.Heat can penetrate thick walls.The method aims to achieve optimum results.Many cases remain undiagnosed.It is imperative to follow safety guidelines.The team formulated a clear strategy.The company decided to embark on a new project.Several factors were taken into account.Funds were allocated for appropriate use.As to the results, further study is needed.Scientific research is driven by curiosity.He stumbled over an unexpected problem.The path was uneven and difficult to walk on.She reported stumbling upon new evidence.The agreement helped solidify cooperation.The findings may prompt further research.This opportunity happened by chance.The area looked run-down after years of neglect.The late professor made significant contributions.The device is functional and easy to use.Her devotion to science inspired many students.He immersed himself in the research project.",研究者は実験を整理するために体系的な方法を用いた。,organized,
deteriorate,悪化する・劣化する,Air quality can deteriorate if pollution increases.,長年の酷使によって道路の質は悪化し始めた。,worsen,
invective,悪口・非難,The politician faced invective from the public during the debate.,その記事には政府に対する激しい悪口が含まれていた。,abuse,
exempt,免除する,Some students are exempt from the final exam.,学生は追加料金の支払いを免除された。,excuse,
polemic,論争,The article caused polemic among experts.,その問題は学術界で論争の的となった。,controversy,
aptitude,適性・才能,She showed a natural aptitude for mathematics.,彼女の数学に対する適性は幼い頃から明らかだった。,talent,
unfeelingly,無感情に・無神経に・冷淡に,He spoke unfeelingly about the accident.,彼は面接でその事故について無感情に語った。,coldly,
prescriptivism,規範主義,Prescriptivism often defines strict language rules.,規範主義は文法規則の教え方に影響を与えることが多い。,normativism,
belief,信念・信仰・考え,She has a strong belief in education.,その理論は言語は変化するという信念に基づいている。,idea,
impose,課す・押し付ける,The school may impose strict rules on students.,新しい方針は中小企業に追加の費用を課す可能性がある。,enforce,
inherently,本質的に,The process is inherently complex.,その問題は本質的に複雑で解決が難しい。,essentially,
propound,提案する・提示する,The professor propounded a new theory.,教授は講義中に新しい理論を提案した。,propose,
adherent,支持者・従う人,He is an adherent of the movement.,彼は伝統的な教育方法の強い支持者である。,supporter,
deviation,逸脱・偏差,The results showed a deviation from the average.,結果は予想されたパターンからの逸脱を示した。,variation,
devoted,献身的な・熱心な,She is devoted to her research.,彼女は教育へのアクセス向上に献身的である。,committed,
encounter,出会う・遭遇する,I encountered many difficulties during the study.,研究者はデータ収集の際に困難に遭遇することがある。,face,
prescriptively,規範的に・規範に基づいて,The rule was applied prescriptively.,その規則は教室で規範的に適用された。,normatively,
threefold,３倍の・３部からなる・３つに分けられる,The company saw a threefold increase in sales.,その研究は早期介入の三つの利点を明らかにした。,triple,
beneath,〜の下に,The village lies beneath the mountain.,その村は山脈の下に位置している。,under,
codify,成分化する・体系化する,The government tried to codify the laws.,委員会は新しい規則を体系化するために取り組んだ。,systematize,成分化・・・文章として書き表わすこと
dispute,"論争する

論争・紛争",The two countries dispute the border issue.,データの解釈をめぐって論争があった。,argue,
reliance,依存・信頼,There is a heavy reliance on technology.,そのシステムの技術への依存は増え続けている。,dependence,
authoritarian,権威主義的な・独裁的な,The regime was described as authoritarian.,その政権は権威主義的な指導体制で批判された。,dictatorial,
nature,性質・本質,Honesty is part of his nature.,その問題の性質は慎重な分析を必要とする。,character,
prescribed,指定された・規定された,Students must follow the prescribed procedure.,参加者は規定された手順を厳密に守った。,specified,
usage,使用・使用法,This manual explains the usage of the device.,この語は日常的な使用でよく見られる。,use,
nature,性質,Curiosity is human nature.,素材の性質はその耐久性に影響する。,character,
proscribed,禁止された,Smoking is proscribed in this area.,その物質は国際法で禁止されている。,banned,
fierce,激しい　猛烈な,The storm was fierce.,限られた資源をめぐって激しい競争があった。,intense,
half-measures,中途半端な・妥協的な,Half-measures will not solve the problem.,その報告書は中途半端な対策では問題は解決しないと警告した。,compromise,
alternative,"選択肢・代案
代わりの・別の",We need an alternative solution.,研究者によって代替案が提案された。,option,
pronounce,宣言する・断言する,The judge pronounced the decision.,裁判官は判決を明確に宣言した。,declare,
motivate,動機づける・促す,Teachers motivate students to study harder.,教師は生徒が自立して学ぶよう動機づける。,encourage,
upon,〜の上に・〜に対して・〜に基づいて,The decision was based upon the evidence.,その結論は先行研究に基づいていた。,on,
advocate,"支持者・擁護者
支持する・擁護する",She is an advocate of free education.,彼女は環境保護の支持者である。,supporter,
insist,主張する・要求する,He insisted on his opinion.,上司は期限を守るよう強く要求した。,demand,
legislation,法律・立法,New legislation was introduced last year.,消費者を守るための新しい法律が制定された。,law,
tenet,教義・信条,Freedom is a central tenet of democracy.,言論の自由は民主主義の中心的な信条である。,principle,〔宗教・政治・大きな信念体系などの基本的な〕
opposition,反対・対立,There was strong opposition to the plan.,その提案には強い反対があった。,resistance,
in our own time,現代において,"In our own time, technology has changed learning.",現代において、技術は教育を大きく変えてきた。,nowadays,
descriptivist,記述主義者,A descriptivist studies how language is used.,記述主義者は言語が実際にどのように使われているかを研究する。,language observer,
prescriptivist,規範主義者,A prescriptivist prefers strict grammar rules.,規範主義者は正しい言語使用の規則に重点を置く。,rule-follower,
quasi,準〜,The device is quasi-scientific.,その装置は準科学的な説明を提供する。,almost,
blind,盲目,He is blind to the risks.,彼は潜在的な危険に盲目だった。,unaware,
radical,根本的な・急進的な,The group demanded radical change.,その改革は制度の根本的な変化を求めた。,fundamental,
elitist,エリート主義,The policy was criticized as elitist.,その政策はエリート主義的だと批判された。,exclusive,
liberalism,自由主義・進歩主義,Liberalism supports individual freedom.,自由主義は個人の自由を重視する。,freedom ideology,
auditory,聴覚の,Hearing tests examine auditory ability.,そのテストは子どもの聴覚能力を調べた。,hearing-related,
impairment,機能障害・損害を与えること,The injury caused a physical impairment.,聴覚障害は言語発達に影響を与えることがある。,disability,
detrimental,有害な,Smoking is detrimental to health.,喫煙は健康に有害である。,harmful,
as a whole,全体として,"As a whole, the project was successful.",全体として、その結果は仮説を支持している。,overall,
deficit,赤字・欠陥,The company reported a budget deficit.,その企業は財政赤字を報告した。,shortfall,
preliminary,"予備の・準備の
準備・予備・予選",A preliminary report was released.,最終報告の前に予備報告が公表された。,initial,
carry out,実施する・遂行する,The team will carry out the experiment.,チームは6か月にわたって調査を実施した。,execute,
pupil,児童・生徒,Each pupil received a textbook.,その児童は安定した学業の進歩を示した。,student,
concern,懸念,There is growing concern about climate change.,気候変動への懸念が高まっている。,worry,
acoustic,"音響
音響の・聴覚の",The hall has good acoustic design.,その部屋は音響を考慮して設計された。,sound-related,
comprehend,理解する・包容する,Students must comprehend the instructions.,その影響の全体像を理解するのは難しい。,understand,understand：日常的な理解や一般的な認識を示す。 grasp：積極的に情報をつかみ取る、より深い理解を示す。 comprehend：複雑な内容や完全な理解を示す、ややフォーマルな表現。
Possession ,所有・所持,The land is in his possession.,土地の所有権は合法的に移転された。,ownership,
exacerbate,悪化させる・深刻にする,Stress can exacerbate health problems.,ストレスは既存の健康問題を悪化させることがある。,worsen,
Interaction ,相互作用・交流,Interaction between students improves learning.,生徒同士の交流は学習を向上させる。,exchange,
heightened,高められた・高くされた,The risk was heightened by poor planning.,事件後、安全対策は強化された。,increased,
vulnerable,弱い・脆弱な,Elderly people are more vulnerable.,高齢者は病気にかかりやすい。,at risk,
reverberation,反響・反響音,The sound caused reverberation in the room.,反響音によって会話が聞き取りにくくなった。,echo,
autistic ,自閉症,The child is autistic.,その子どもは自閉症と診断された。,autism-related,autistic spectrum disorder・・・自閉症スペクトラム
neurological,神経学の・神経系の,The disease is neurological.,その研究は神経系の発達に焦点を当てている。,nervous-system,
interlinking,相互接続・相互に関連付けること,The system allows interlinking of data.,そのモデルは相互に関連する要因を示している。,connection,
discrepancy,矛盾・不一致,There is a discrepancy between theory and practice.,理論と実践の間に不一致がある。,inconsistency,
genetic,発生の・遺伝の・遺伝子の,The disorder is genetic.,その病気には遺伝的な原因がある。,inherited,
sensory,感覚の・知覚の,Vision is a sensory function.,感覚入力は知覚において重要な役割を果たす。,perceptual,
stimulus,刺激・激励・励み,Light is a visual stimulus.,光は植物の成長にとって刺激となりうる。,trigger,
painful,痛い・苦痛,The treatment was painful.,それは参加者にとって苦痛な経験だった。,hurtful,
quantify,定量化する・量をはかる,Researchers try to quantify the results.,研究者は結果を定量化しようとした。,measure,
