単語,意味,例文,例文訳,類義語,メモ
가게,店,가게에 맛있는 음식이 많아요.,店にはおいしい食べ物がたくさんあります。,,
가구,家具,가구를 살 때 신중해야 합니다.,家具を買う時には慎重である必要があります。,,
가격,値段,이 제품의 가격이 비싸요.,この製品の価格は高いです。,,
가능하다,可能だ,그 일이 가능해요.,その仕事は可能です。,,
가끔,たまに,가끔 나는 친구들과 함께 영화를 보러 간다.,時々、私は友達と映画を見に行きます。,,
가다,行く,그는 학교에 가요.,彼は学校に行きます。,,
가방,かばん,가방을 잊어버렸어요.,かばんを 忘れてしまいました。,,
가르치다,教える,선생님은 우리에게 한국어를 가르쳤어요.,先生は私たちに韓国語を教えてくれました。,,
가볍다,軽い,그 가방은 가볍게 느껴진다.,そのバッグは軽く感じられる。,,
가수,歌手,그녀는 유명한 가수입니다.,彼女は有名な歌手です。,,
가지다,持つ,그 도구는 유용한 기능을 가지고 있어요.,その道具は便利な機能を持っています。,,
가족,家族,저의 가족은 항상 저를 지지해 주고 사랑해 주는데요.,私の家族はいつも私を支持してくれて愛してくれるんです。,,
간단하다,簡単だ,이 문제는 정말 간단하다.,この問題は本当に簡単です。,
갈색,茶色,그 갈색 자켓이 참 멋져 보여요.,その茶色のジャケット、本当に素敵に見えます。,,
갈비,カルビ,갈비는 한국 요리에서 인기 있는 고기 요리 메뉴 중 하나입니다.,カルビは韓国料理でも人気のある肉料理のメニューの一つです。,,
감기,風邪,감기에 걸렸어요.,風邪を引いてしまいました。,,
감사하다,感謝する,감사합니다.,ありがとう。,,
감정,感情,감정은 우리 삶의 중요한 부분입니다.,感情は私たちの生活の重要な部分です。,,
값,値段,값은 합리적이어야 합니다.,値段は合理的である必要があります。,,
강아지,子犬,강아지는 아기 개를 뜻해요.,子犬は子犬を意味します。,
강,川,그 강은 맑고 아름답습니다.,その川は清潔で美しいです。,,
강하다,強い,그는 강하고 용감한 리더입니다.,彼は強く勇敢なリーダーです。,,
같다,同じだ,그들의 의견이 같다.,彼らの意見は同じです。,,
같이,一緒に,우리는 항상 같이 있을 거야.,私たちはいつも一緒にいるよ。,,
개,犬,개는 사람에게 충실하고 지적이지 않은 동물입니다.,犬は人間に忠実で知的でない動物です。,,
거리,通り,거기는 매일 바쁜 거리였어요.,そこは毎日忙しい通りでした。,,
거실,居間,거실에 들어가면 따뜻한 분위기가 느껴져요.,リビングに入ると暖かい雰囲気が感じられます。,,
거울,鏡,거울을 보면 나의 모습을 볼 수 있어요.,鏡を見ると私の姿を見ることができます。,,
걱정하다,心配する,내일 시험이 있어서 걱정이 되요.,明日は試験があって心配です。,,
건강,健康,건강은 우리의 소중한 자산입니다.,健康は私たちの貴重な資産です。,,
건너다,渡る,강을 건널 때 조심하세요.,川を渡る際は注意してください。,,
건물,建物,저 건물은 아름다운 디자인을 가지고 있어요.,その建物は美しいデザインを持っています。,,
걸다,かける,나는 늦었으므로 급하게 옷을 걸었다.,私は遅れたので急いで服を着ました。,,
걷다,歩く,그는 아침에 공원을 걷는다.,彼は朝、公園を散歩します。,,
겨울,冬,겨울이 춥다.,冬は寒いです。,,
게임,ゲーム,게임을 좋아하는 사람이 많이 있어요.,ゲームが好きな人がたくさんいます。,,
결과,結果,그 결과는 예상대로 나쁘지 않았어요.,その結果は予想通り悪くなかったです。,,
결혼,結婚,저는 내년에 결혼합니다.,私は来年結婚します。,,
경기,試合,그들은 축구 경기를 이겼어요.,彼らはサッカーの試合に勝ちました。,,
경찰,警察,경찰은 도시 안전을 보호하기 위해 많은 노력을 기울입니다.,警察は市の安全を守るために多くの努力を払います。,,
경험,経験,경험은 우리를 성장시키는 소중한 것입니다.,経験は私たちを成長させる貴重なものです。,,
계속,続けて,그는 공부를 계속 했다.,彼は勉強を続けました。,,
계절,季節,한 해에는 네 개의 계절이 있습니다.,1年には4つの季節があります。,,
계단,階段,계단을 올라갑니다.,階段を上がります。,,
계획,計画,제 계획은 내년에 해외로 여행하는 것입니다.,私の計画は来年海外旅行することです。,,
고기,肉,고기는 단백질을 많이 함유하고 있습니다.,肉はたくさんのタンパク質を含んでいます。,,
고르다,選ぶ,나는 점심을 고를 때 항상 어려운 결정을 내려야 해요.,私は昼食を選ぶときいつも難しい決定を下さなければなりません。,,
고양이,猫,고양이가 집 안에서 졸고 있어요.,猫は家の中で寝ています。,,
고맙다,ありがたい,ありがたい 도움에 고맙다.,ありがたい助けに感謝します。,,
고장,故障,세탁기가 고장났어요.,洗濯機が壊れています。,,
고프다,空腹だ,배가 고프다.,お腹がすいた。,,
고향,故郷,고향에 가고 싶어요.,故郷に行きたいです。,,
공기,空気,공기가 맑아서 산책하기 좋은 날씨예요.,空気が澄んでいて散歩するのに良い天気です。,,
공부,勉強,공부를 열심히 해야 성공할 수 있어요.,勉強を一生懸命しないと成功できません。,,
공원,公園,공원에서 산책하면 스트레스가 풀립니다.,公園を散歩するとストレスが解消されます。,,
공장,工場,공장에서 제품을 생산하고 있어요.,工場で製品を生産しています。,,
공책,ノート,그는 항상 수업 때 공책을 사용해.,彼はいつも授業中ノートを使います。,,
공항,空港,공항에 도착하셨습니다.,空港に到着しました。,,
과일,果物,과일은 당신의 건강을 촉진하는데 도움이 될 수 있습니다.,果物はあなたの健康を促進するのに役立つかもしれません。,,
과자,お菓子,과자를 좋아해요.,お菓子が好きです。,,
공연,公演,그 드라마 공연을 볼 수 있어서 기뻐요.,そのドラマの公演を見ることができて嬉しいです。,,
괜찮다,大丈夫だ,괜찮아.,大丈夫です。,,
관광,観光,한국에서 관광을 즐기세요.,韓国で観光をお楽しみください。,,
교실,教室,교실에는 많은 책이 있어요.,教室にはたくさんの本があります。,,
교과서,教科書,학생들이 교과서를 열심히 공부합니다.,生徒たちは教科書を一生懸命勉強します。,,
굉장히,非常に,그 영화는 굉장히 감동적이었습니다.,その映画は非常に感動的でした。,,
교통,交通,교통 상황이 나빠졌어요.,交通状況が悪くなりました。,,
구두,靴,구두를 신고 나가기 전에 반드시 끈을 매 주세요.,必ず靴紐を結んでから外出してください。,,
구경하다,見物する,그들은 쇼핑몰에서 구경하기 위해 여행을 왔어요.,彼らはショッピングモールで見学するために旅行してきました。,,
구입하다,購入する,제가 어제 새로운 신발을 구입했어요.,私は昨日新しい靴を購入しました。,,
국가,国家,국가는 국민의 안전과 복지를 책임진다.,国家は国民の安全と福祉を責任を負います。,,
국내,国内,국내 여행을 즐기시는 분들에게 유용한 정보를 제공해 드립니다.,国内旅行を楽しむ方々に役立つ情報を提供いたします。,,
국적,国籍,그 사람은 한국 국적을 가지고 있어요.,その人は韓国国籍を持っています。,,
국수,麺,이 국수 맛이 어떤가요?,この麺の味はどうですか？,,
국제,国際,국제 협력은 세계 각국 간의 중요한 관계입니다.,国際協力は世界各国間の重要な関係です。,,
굳다,固い,그 암석은 매우 굳다.,その岩は非常に堅いです。,,
군인,軍人,그 군인은 국방에 헌신하고 있다.,その兵士は国防に献身しています。,,
굴,洞窟,굴에 들어 가지 마세요.,洞穴に入らないでください。,,
권,巻,책 한 권을 읽었어요.,本を1冊読みました。,,
굽다,焼く,그 소시지를 오븐에 굽고 있어요.,そのソーセージをオーブンで焼いています。,,
귀,耳,그녀는 작은 귀를 가지고 있어요.,彼女は小さな耳を持っています。,,
귀엽다,可愛い,그 애기 고양이 정말 귀엽다.,その子猫は本当にかわいいです。,,
규칙,規則,규칙은 우리 사회에서 중요한 역할을 합니다.,規則は私たちの社会で重要な役割を果たします。,,
그,その,그 책은 정말 훌륭해요.,その本は本当に素晴らしいです。,,
그것,それ,그것은 내가 원하는 것이 아니다.,それは私が望むものではありません。,,
그냥,ただ,그냥 집에서 쉬는 게 좋아.,ただ家で休むのがいい。,,
그래서,だから,그래서 나는 지하철을 탔어.,だから私は地下鉄に乗った。,,
그러나,しかし,그러나 그 일은 중요하지 않았어요.,しかし、その仕事は重要ではありませんでした。,,
그림,絵,그림을 그리는 것은 저에게 큰 즐거움입니다.,絵を描くことは私にとって大きな喜びです。,,
그림책,絵本,그림책을 사랑하는 아이들이 많아요.,絵本を愛する子どもたちがたくさんいます。,,
그분,あの方,그분은 학문적인 분야에서 전문가입니다.,その方は学問的な分野で専門家です。,,
그룹,グループ,밴드 그룹이 새 앨범을 발표했다.,バンドグループが新しいアルバムを発表しました。,,
그릇,器,그릇은 음식을 담기 위한 도구입니다.,器は食べ物を入れるための道具です。,,
그림자,影,저 그림자가 길게 늘어나고 있어요.,その影が長く伸びています。,,
극장,劇場,그 극장에서 영화를 보러 갔어요.,その劇場で映画を見に行きました。,,
근처,近く,근처에 마트가 있어요.,近くにスーパーマーケットがあります。,,
글,文,글은 생각과 감정을 표현하는 소중한 수단입니다.,文章は考えや感情を表現する貴重な手段です。,,
금방,すぐ,금방 갈게요.,すぐに行きます。,,
금,金,그는 금빛 광채를 품고 있었다.,彼は金色の輝きを身に着けていた。,,
급하다,急ぐ,그는 급하게 집에 가야 했다.,彼は急いで家に帰らなければならなかった。,,
