単語,意味,例文,例文の訳,類義語,メモ
jot down,手早くメモする・書き留める,Just jotting down some notes.,ちょっとノートにメモを書いているだけです。,,
within budget,予算内で,I don't think that would be within our budget.,私は、それが私たちの予算内に収まるとは思いません。,,
energetic,活動的な・精力的な・エネルギッシュな,you don't have to be too energetic.,あまり元気過ぎる必要はありません。,,
improve on ~,〜よりも良くする・上回る,We can improve on that,その点を改善することができます。,,
It is sensible to ~,〜するのは賢明だ,It's still sensible to have good cover.,まだ良いカバーを持つのは賢明です。,,
If you've got a minute,少しお時間よろしいですか？,"If you've got a minute, could I just check a couple of points about insurance?",もし時間があれば、保険についていくつか確認してもいいですか？,,
I’d better not ~,I’d better not ~,I'd better not take my laptop.,私はノートパソコンを持っていくべきではないです。,,
settle down,住みつく・落ち着く,we decided to settle down and have children,私たちは落ち着いて子どもを持つことを決めました。,,
Not unless ~,〜しない限りはダメ,Not unless you insure it separately.,それだけの場合は保険に入れてください。,,
didn’t think anything more of it,それ以上深く考えることはなかった,we didn’t think anything more of it until I went on a trip to a theme park near Birmingham,バーミンガム近くのテーマパークに行くまで、私たちはそれについて何も考えませんでした。,,
dealt,dealの過去形,I dealt with park business,公園の業務を処理しました,,
in turn,その結果・さらに,"We began to extend the railway track and lay it among more interesting landscape by planting trees, which in turn attracted more wildlife",私たちは鉄道の線路を延長し、より面白い風景の中に植樹することで敷設し始めました。それによって、より多くの野生動物が引き寄せられました。,,
concern oneself with,～に関心を持つ,I only concern myself with looking after the mechanical side of things,私は機械側の世話だけを心配しています。,,
~ side of things,〜に関するあれこれ,I only concern myself with looking after the mechanical side of things,私は機械的な面を世話することに対してのみ関心を持っています。,,
cutting,切ること・切断,"We began to extend the railway track and lay it among more interesting landscape by planting trees, which in turn attracted more wildlife, and by making cuttings through the rock.",私たちは鉄道の線路を延長して、より興味深い風景の中に木々を植え、それによってさらなる野生動物を引き寄せ、岩盤を切り通して敷設し始めました。,,
squadron,部隊,the large squadron of workers which keep the place running smoothly.,円滑に運営されている場所を維持してくれる大所属の労働者たち。,,
be kept fed and watered,ちゃんと飲み食いさせてもらってる・ちゃんと世話されている,Sarah has now returned to the park and makes sure the visitors are kept fed and watered,サラは今、公園に戻り、訪問者たちが食事と水を十分に摂取できるようにしています。,,
stalwart,頼れる人・屈強な人,Our son Duncan has been a stalwart of the park for the last 10 years,私たちの息子ダンカンは、ここ最近10年間、その公園の中心的存在でした。,,
for the moment,今のところは・一時的に,have you finished your development of the site for the moment?,今の段階でサイトの開発は終了しましたか？,,
pleased with ~,〜に満足している,"We’re also very pleased with a new installation of the go-kart arena, which is 120 square metres in area.",新しいゴーカートアリーナの設置も喜んでいます。面積は120平方メートルです。,,
level,平らにする,we had to level the mounds on the track for safety reasons.,安全上の理由で、トラックの丘を平らにする必要がありました。,,
work on ~,取り組む・改善する,you really need to work on these weaknesses before you go any further,あなたはこれらの弱点に取り組む必要が本当にあります、もっと先に進む前に。,,
dissertation,卒業論文,I am currently working on my dissertation for my graduation.,現在、卒業のための論文に取り組んでいます。,,
peer,同僚・同等［同格］の人,some people find it helpful to organize peer group discussions.,一部の人々は、仲間グループの議論を整理することが役立つと感じることがあります。,,
get down,書き留める・メモを取る,you have to get points down in a small space,狭いスペースにポイントを入れる必要があります。,,
take discipline,自己管理が必要・自制を要する,I can see it’d take discipline,それには規律が必要だとわかります。,,
discipline oneself,身を律する・自制する,I don’t seem to be able to discipline myself,自分をしつけることができないようです。,,
they’ll be with you all your life,一生役立つ,"if you establish good study skills at this stage, they’ll be with you all your life",この段階で良い勉強スキルを身につければ、それが一生一緒にあなたといるでしょう。,,
talk things over,物事について話し合う・相談する,I need to talk things over,物事を話し合う必要があります。,,
the following day,翌日,What about the following day?,翌日はどうですか？,,
go for ~,〜に決める,we’ll go for the 25th then.,その場合、25日に行きます。,,
more or less,だいたい・おおよそ,I’m going to start with a house which is constructed more or less under the ground.,地面の下にほぼ建設された家から始めるつもりです。,,
chief aim,主な目的・最大の目標,Their chief aim was to create somewhere that was as environmentally friendly as possible.,彼らの主な目標は、可能な限り環境に優しい場所を作ることでした。,,
quarry,採石場・石切り場,they found a disused stone quarry in a beautiful area.,彼らは美しい地域に放置された石切り場を見つけました。,,
as it were,いわば・言ってみれば・まるで,"they liked the idea of recycling the land, as it were.",彼らは、いわゆる土地のリサイクルの考えが気に入った。,,
As it was,実際のところ（現状として）,"As it was, the quarry was an ugly blot on the landscape",それでも、採石場は景観の中で醜い汚点だった。,,
storey,階（storyと同意）,it was built into the earth itself with two storeys.,地球そのものに2階建てで建てられました。,,
blot,汚点・染み,"As it was, the quarry was an ugly blot on the landscape",その採石場は風景にとって醜い汚点だった。,,
fix to ~,取り付ける・固定する,There were also photovoltaic tiles fixed to the top and bottom of this sloping wall.,この傾斜した壁の上と下にも太陽光発電タイルが取り付けられていました。,,
photovoltaic,太陽光発電の,There were also photovoltaic tiles fixed to the top and bottom of this sloping wall.,この斜面の壁の上と下にも太陽光発電タイルが取り付けられていました。,複数形で単数扱いの名詞としての太陽光発電の意味,
flood in,どっと流れ込む・大量に差し込む,Sunlight floods in through the glass wall,ガラス壁から太陽光が洩れ込む,,
what is of interest to us,私たちにとって興味深いのは〜,what is of interest to us about this project is the features which make the building energy-efficient,私たちにとって興味深いのは、このプロジェクトが建物を省エネにする特徴です。,,
insulation,断熱・絶縁・防音,"the walls had a layer of foam around them too, to increase the insulation.",壁にも、断熱性を高めるために泡の層がありました。,,
wherever possible,可能な限り,"wherever possible, recycled materials have been used",可能な限り、リサイクル素材が使用されています。,,
surplus,余剰・超過分・黒字,the house may even generate an electricity surplus,家は余分の電気を生成するかもしれません。,,
some of ~,一部の～・～のいくらか・～の幾つか,the special tiles on the outside convert energy from the sun and generate some of the house’s electricity,外側の特殊タイルは太陽からエネルギーを変換し、家の一部の電気を生成します。,,
reclaimed,再生利用された・埋め立てられた,the floors are made of reclaimed wood,床は再生木材でできています。,,
purify,浄化する・取り除く,It’s purified by being filtered through reed beds,葦のベッドを通してろ過されて浄化されます,,
reed,アシ,It’s purified by being filtered through reed beds,それは、アシの草むらを通してろ過されて浄化されます。,イネ科の植物の一種,
occupant,居住者・現住者・（車などの）乗員,the occupants of the house won’t pollute the land or use any damaging chemicals,家の住人は土地を汚染したり有害な化学物質を使用したりしません。,,
debt,負債・借金,the initial debt has been cleared,最初の借金はクリアされました。,,
diurnal,昼行性の,"Numerous creatures, humans included, are largely diurnal",多くの生物、人間を含めて、主に昼行性です。,,
flora and fauna,動植物,short-term rhythms of time and their effect on flora and fauna,時間の短期的なリズムとそれが植物や動物に与える影響,,
nocturnal,夜行性の,"Nocturnal animals, such as bats and possums, prefer to forage by night.",夜行性の動物、コウモリやフクロネズミなどは、夜間に餌を探すことを好む。,,
possum,フクロネズミ・ポッサム,"Nocturnal animals, such as bats and possums, prefer to forage by night.",夜行性の動物、例えばコウモリやフクロネズミは、夜間に餌を探すことを好む。,,
forage,採餌する,"Nocturnal animals, such as bats and possums, prefer to forage by night.",夜行性の動物、コウモリやフクロネズミのような動物は、夜によく餌を探します。,,
crepuscular,薄明薄暮性の,A third group are known as crepuscular: they thrive in the low-light of dawn and dusk and remain inactive at other hours.,第三のグループは薄明かりの時間帯で繁栄し、他の時間では活動せず、薄明時あるいは薄明かりの時間帯として知られています。,,
