単語,意味,例文,例文の訳,類義語,メモ
naysayer,否定的な人・否定派,The naysayer said the plan would never work.,その否定派の人は、その計画は決してうまくいかないと言った。,skeptic,
distinct,はっきりと異なる・独特な・注目すべき,The two ideas are distinct from each other.,その2つの考えは互いにはっきりと異なっている。,clear-cut,
rumbling,ごろごろという音・不満の声,There was a rumbling of thunder in the distance.,遠くで雷のごろごろという音が聞こえた。,murmuring,
impeded,遅らせる・妨げる,Heavy traffic impeded the progress of the bus.,激しい交通渋滞がバスの進行を妨げた。,hindered,
evolve,発展させる・進化させる・考案する,Technology continues to evolve over time.,技術は時間とともに進化し続けている。,develop,
fixed,一定の,The school charges a fixed fee each year.,その学校は毎年一定の料金を請求する。,set,
pitfall,落とし穴・思いがけない危険,Lack of planning is a common pitfall in research.,計画不足は研究における一般的な落とし穴である。,trap,
draw on ～,活用する・頼る,Students can draw on past experience to solve problems.,学生は問題を解決するために過去の経験を活用できる。,rely on,
interpret,解釈する・通訳する,Researchers must interpret the results carefully.,研究者は結果を慎重に解釈しなければならない。,understand,
hardwired,本能的な・生得的な,Some reactions are hardwired in the human brain.,いくつかの反応は人間の脳に本能的に組み込まれている。,innate,
curse,呪い・災い・悪口,Many people believe poverty is a social curse.,多くの人は貧困を社会的な災いだと考えている。,misfortune,
perceptual,知覚的な・知覚の,Children develop perceptual skills as they grow.,子どもは成長するにつれて知覚能力を発達させる。,sensory,
plague,"疫病・伝染病
悩ませる・苦しめる",Stress can plague students during exams.,試験中のストレスは学生を悩ませることがある。,trouble,
bombard,攻め立てる・浴びせる・砲撃する,Consumers are bombarded with advertisements every day.,消費者は毎日広告を浴びせられている。,assault,
conjecture,"推測・憶測
推測する・憶測する",His idea was only a conjecture without evidence.,彼の考えは証拠のない単なる推測だった。,speculation,
work around,回避する,We found a way to work around the problem.,私たちはその問題を回避する方法を見つけた。,bypass,
fall into,陥る・分類する,Many students fall into bad study habits.,多くの学生は悪い勉強習慣に陥る。,slip into,
likelihood,見込み・可能性,There is a high likelihood of rain tomorrow.,明日雨が降る可能性は高い。,probability,
novelty,目新しさ・珍しいもの,The novelty of the device attracted young users.,その装置の目新しさが若い利用者を引きつけた。,originality,
impediment,障害・妨げ・言語障害,Language can be an impediment to communication.,言語は意思疎通の障害となることがある。,obstacle,
embrace,"抱きしめる・受け入れる・含む

抱擁・受け入れ",Many universities embrace cultural diversity.,多くの大学は文化的多様性を受け入れている。,accept,
trivial,些細な・取るに足らない・ありふれた・平凡な,The mistake was trivial and easily fixed.,そのミスは些細で簡単に修正できた。,minor,
ridicule,"嘲笑する・バカにする
嘲笑・冷笑",The speaker was ridiculed for his opinion.,その発言者は意見を嘲笑された。,mock,
inhibit,抑制する・妨げる,Fear can inhibit learning in the classroom.,恐怖は教室での学習を妨げることがある。,prevent,
phobia,恐怖症,She has a phobia of flying.,彼女は飛行機恐怖症だ。,fear,
tends to ～ ,〜する傾向がある,This method tends to produce better results.,この方法はより良い結果を生む傾向がある。,is likely to,
variant,"異なるもの・変種・変異体
異なる・変化している",This virus is a new variant of the disease.,このウイルスはその病気の新しい変異体である。,form,
afflict,苦しめる・悩ます,The illness continues to afflict elderly people.,その病気は高齢者を苦しめ続けている。,torment,
empathy,共感・感情移入,Empathy helps doctors understand patients.,共感は医師が患者を理解する助けになる。,compassion,
fairness,公平さ・公正さ,Fairness is important in education.,公平さは教育において重要である。,justice,
cognition,認知・認識,Memory is a key part of human cognition.,記憶は人間の認知における重要な部分である。,thinking,
intertwine,"絡み合う・より合わせる

密接に関連した",Culture and language intertwine closely.,文化と言語は密接に絡み合っている。,interweave,
artistic,芸術的な・芸術に関する,She has an artistic approach to design.,彼女は芸術的なデザインの考え方を持っている。,creative,
alienation,疎外・孤立・疎外感・譲渡,Social media can cause feelings of alienation.,ソーシャルメディアは疎外感を引き起こすことがある。,isolation,
coordinate,"調整する・統合する・まとめる

等位の・対等の",The team worked to coordinate their efforts.,チームは努力を調整するために協力した。,organize,
evolve,進化する・発展する・展開する,Cities evolve as populations grow.,人口が増えるにつれて都市は発展する。,develop,
detection,発見・検知・探知,Early detection of cancer saves lives.,がんの早期発見は命を救う。,identification,
cog,歯車の歯・歯車の一部,Each cog plays a role in the machine.,それぞれの歯車は機械の中で役割を果たしている。,gear,
foster,育む・促進する・助長する,Schools should foster critical thinking.,学校は批判的思考を育むべきだ。,encourage,
continually,絶えず・継続的に,Technology is continually changing society.,技術は社会を継続的に変えている。,constantly,
optimism,楽観的な考え・楽観主義,Optimism can improve mental health.,楽観主義は心の健康を改善することがある。,hopefulness,
tenuous,薄情な・乏しい・弱々しい,The link between the ideas was tenuous.,その考え同士のつながりは弱かった。,weak,
bear,耐える・負担する・支える・に値する,Some people cannot bear heavy stress.,一部の人は強いストレスに耐えられない。,endure,
assumption,仮定・前提,The theory is based on a false assumption.,その理論は誤った前提に基づいている。,belief,
rather,「強調」,It was rather surprising to hear the news.,その知らせを聞いてかなり驚いた。,quite,"類義語との比較
• very: 「とても」→ 強調の度合いが「rather」よりも強い。
    ◦ 例：The connection is very tenuous.（その関連性は非常に薄弱だ。）
• somewhat: 「多少」→ 「rather」より控えめな強調。
    ◦ 例：The connection is somewhat tenuous.（その関連性は多少薄弱だ。）"
adopt,採用する,The company decided to adopt a new policy.,その会社は新しい方針を採用することに決めた。,implement,
radically,徹底的に・根本的に,The reform radically changed the system.,その改革は制度を根本的に変えた。,fundamentally,
restrictively,制限的に・限定的に,Access to the library is restrictively controlled.,図書館への利用は制限的に管理されている。,narrowly,
inconceivable,想像できない・信じられない,It was inconceivable to finish the task in one day.,その作業を1日で終えるのは想像できなかった。,unimaginable,
attenuate,弱められる・減少する・薄くなる,Noise can be attenuated by thick walls.,厚い壁は騒音を弱めることができる。,reduce,
keep an open mind,偏見を持たない・心をひらく,Good scientists keep an open mind.,優れた科学者は偏見を持たない。,be receptive,
severely,厳しく・厳格に,The rule was severely criticized.,その規則は厳しく批判された。,harshly,
a host of,数え切れないほどの,The project faced a host of problems.,その計画は非常に多くの問題に直面した。,many,
impracticality,実現不可能性・非実用性・不便さ,The impracticality of the plan became clear.,その計画の非実用性が明らかになった。,unworkability,
Extra-terrestrial,"地球外生命体
地球外の",Some people believe in extra-terrestrial life.,地球外生命体を信じている人もいる。,alien,
traverse,"横断する・横切る・矛盾する
横断・交差点",The road traverses the desert.,その道路は砂漠を横断している。,cross,
congress,国会・議会,The law was debated in congress.,その法律は国会で議論された。,parliament,
parched,干からびた・極度に乾燥した・喉が渇いた,The land became parched during the drought.,干ばつの間、その土地は干からびた。,dry,
intervention,介入・干渉,Government intervention was necessary.,政府の介入が必要だった。,interference,
drawback,欠点・不利な点,Cost is a major drawback of the system.,費用はその制度の大きな欠点である。,disadvantage,
undeniable,否定できない・明白な,The evidence is undeniable.,その証拠は否定できない。,obvious,
reptile,爬虫類,A snake is a type of reptile.,ヘビは爬虫類の一種である。,lizard,
fluid,液体・流体,Water is a fluid.,水は液体である。,liquid,
cold-blooded animals.,変温動物,Cold-blooded animals depend on the environment.,変温動物は環境に依存している。,ectothermic animals,
Woodlice,ワラジムシ,Woodlice live under stones.,ワラジムシは石の下に生息している。,pill bugs,
Crustacean ,甲殻類,A crab is a crustacean.,カニは甲殻類である。,shellfish,
thoroughgoing,徹底した・完全な・本格的な,He made a thoroughgoing review of the study.,彼はその研究を徹底的に見直した。,comprehensive,
centipede,ムカデ,A centipede has many legs.,ムカデにはたくさんの脚がある。,many-legged insect,
worm,ミミズなどの無脊椎動・虫,The worm lives in the soil.,そのミミズは土の中に住んでいる。,invertebrate,
millipede,ヤスデ,A millipede curls into a ball.,ヤスデは体を丸める。,many-legged arthropod,
gill,エラ,Fish breathe through gills.,魚はエラを通して呼吸する。,respiratory organ,
cease,"終わる・やむ・停止する
やめる・中止する",The noise finally ceased.,その騒音はついに止んだ。,stop,
terrestrial,地球上の・陸地の,Humans are terrestrial animals.,人間は陸上の動物である。,land-based,
ashore,岸へ・陸地へ,The boat drifted ashore.,その船は岸へ流れ着いた。,onshore,
incarnation,化身・特定の形や状態の具現化,He is seen as the incarnation of success.,彼は成功の化身と見なされている。,embodiment,
reproduction,生殖・複製・模造品,Reproduction is essential for survival.,生殖は生存に不可欠である。,breeding,
involve,必要とする・含む・関与する・影響を与える,The job involves long hours.,その仕事は長時間労働を必要とする。,include,
vertebrate,脊椎動物・脊椎のある,A fish is a vertebrate.,魚は脊椎動物である。,backboned animal,
seal,アザラシ,The seal rested on the ice.,アザラシは氷の上で休んでいた。,sea lion,
descend,〜の子孫である・〜から進化した・下る・降りる,Humans descend from earlier species.,人類はより古い種から進化した。,originate from,
part way,一部・途中まで,We agreed to part way on the issue.,私たちはその問題について途中で意見を分けた。,partially,
in one respect,ある点において・ある側面で,"In one respect, the plan is effective.",ある点において、その計画は効果的である。,in one aspect,
breed,繁殖させる・産む・飼育する,Farmers breed animals for food.,農家は食料のために動物を繁殖させる。,raise,
Forelimb,動物の前足や前脚・人間で言う腕に相当する部分,The forelimb helps the animal move.,前肢はその動物が動くのを助ける。,front limb,
fragment,"破片・断片
細かく砕ける・分裂する",The glass began to fragment.,そのガラスは砕け始めた。,piece,
reptilian,爬虫類の・冷酷な・人間らしさに欠けた,He gave a reptilian smile.,彼は冷酷な笑みを浮かべた。,cold-hearted,
contemporary,"現代の・同時代に存在した
同時期の人・同年齢の人",Contemporary art reflects modern society.,現代美術は現代社会を反映している。,modern,
