単語,意味,例文,例文の訳,類義語,メモ
Reptilian cortex,爬虫類脳,The first of our three brains to evolve is what scientists call the reptilian cortex.,私たちの三つの脳の最初に進化したのは、科学者が脳の中でも爬虫類皮質と呼ぶものです。,• 爬虫類脳 (R-complex):脳の最古の部分であり、生存本能や本能的な行動（例えば、食物を求める、危険を避ける、繁殖など）を制御すると考えられています。,
what ~ call ~,〜が〜と呼ぶもの,The first of our three brains to evolve is what scientists call the reptilian cortex.,私たちの3つの脳の最初に進化したものは、科学者が動物性皮質と呼ぶものです。,,
house,〜を収容する・含む,"The reptilian cortex also houses the ""startle centre"",",爬虫類の皮質はまた、驚きセンターを収容しています。,,
respiration,呼吸,"This brain sustains the elementary activities of animal survival such as respiration, adequate rest and a beating heart.",この脳は呼吸、十分な休息、そして鼓動する心臓など、動物の生存の基本的な活動を維持します。,細胞レベルの呼吸,
startle,驚き・びっくりさせる,"The reptilian cortex also houses the ""startle centre"",",爬虫類の皮質は、驚愕中枢も保管しています。,,
swift,素早い・即座の,a mechanism that facilitates swift reactions to unexpected occurrences in our surroundings.,私たちの周囲での予期せぬ出来事に迅速に反応する仕組み。,,
occurrence,出来事・事件,a mechanism that facilitates swift reactions to unexpected occurrences in our surroundings.,私たちの周りの予期せぬ出来事への迅速な反応を促進するメカニズム。,,
lurch,急な揺れ・よろめき,That panicked lurch you experience when a door slams shut somewhere in the house,家のどこかでドアがバタンと閉まったときに感じるパニックに陥る動き,,
bush,茂み,a twig cracks in a nearby bush,近くの茂みで小枝が折れる。,,
interaction with,〜との交流・〜との相互作用・〜とのやり取り,"When it comes to our interaction with others, the reptilian brain offers up only the most basic impulses:",他者との関わりに関しては、爬虫類脳は基本的な本能しか提供しません。,,
slam shut,バタンと閉まる,That panicked lurch you experience when a door slams shut somewhere in the house,家のどこかでドアがバタンと閉まると、あなたが感じるパニックに陥る突然の動き。,,
offer up,提示する・提案する・申し出る,"When it comes to our interaction with others, the reptilian brain offers up only the most basic impulses:",他者との関わりに関して、爬虫類脳は基本的な衝動しか提供しません。,,
mating,交配・交尾,The mating season for deer occurs in the fall.,シカの交尾期は秋に起こります。,,
There is no great difference,大した違いはない,"There is no great difference, in this sense, between a crocodile defending its spot along the river and a turf war between two urban gangs.",この意味では、川沿いの自分の場所を守るワニと都市の二つのチーム間の縄張り争いの間には大きな違いはありません。,,
aggression,攻撃,The aggressive dog showed its teeth and growled loudly.,攻撃的な犬は歯を見せて大きな声でうなりました。,,
stake a claim to ~,〜に対して権利を主張する,the lizard may stake a claim to its habitat,トカゲは生息地に権利を主張するかもしれません。,,
exert,示す・発揮する,it exerts total indifference toward the well-being of its young.,それはその若いものの幸福に完全な無関心を示します。,,
in this sense,この意味においては,"There is no great difference, in this sense, between a crocodile defending its spot along the river and a turf war between two urban gangs.",この意味では、川沿いにいるワニが自分の場所を守るのと、都会の2つのギャングの間での縄張り争いに、大きな違いはありません。,,
indifference,無関心,it exerts total indifference toward the well-being of its young.,それは、自分の子どもたちの幸福に対して全く無関心である。,,
anguished,〔表情・声などが〕苦しそうな,Listen to the anguished squeal of a dolphin separated from its pod or witness the sight of elephants mourning their dead,そのイルカが群れと離れて悲痛な悲鳴を上げるのを聞いたり、象が亡くなった仲間を l l ている様子を見るのを目撃してください。,,
pod,小群,Listen to the anguished squeal of a dolphin separated from its pod or witness the sight of elephants mourning their dead,自分の仲間から離れたイルカの苦しむ悲鳴を聞いたり、死者を悼む象の姿を目にする,,
squeal,鳴き声,Listen to the anguished squeal of a dolphin separated from its pod or witness the sight of elephants mourning their dead,仲間から離されたイルカの苦悶の悲鳴を聞いたり、象が死者を悼む光景を目撃してください,,
witness,目の当たりにする・目撃する,Listen to the anguished squeal of a dolphin separated from its pod or witness the sight of elephants mourning their dead,仲間から離れたイルカの絶叫を聞いたり、死者を悼む象の姿を目にするのを見たりしてください,,
mourning,哀悼,Listen to the anguished squeal of a dolphin separated from its pod or witness the sight of elephants mourning their dead,自分の群れから分かれたイルカの悲しげな悲鳴を聞いたり、象が亡くなった仲間に l 意する光景を目撃してください,,
the sight of,～の姿・光景,Listen to the anguished squeal of a dolphin separated from its pod or witness the sight of elephants mourning their dead,仲間から切り離されたイルカの悲痛な鳴き声を聞くか、死者を l 哀しむ象を目撃してください,,
