単語,意味,例文,例文の訳,類義語,メモ
stretch back,過去に遡る・遠くまで広がる,The castle’s history stretches back over five hundred years.,その城の歴史は500年以上前にさかのぼる。,date back to,
incidentally,ちなみに・ついでに・そういえば・偶然に,"Incidentally, the survey was completed earlier than expected.",ちなみに、その調査は予想より早く完了した。,by the way,
primeval,原始的な・太古の・本能的な・根本的な,Scientists study primeval forests to understand early ecosystems.,科学者たちは初期の生態系を理解するために原始林を研究している。,ancient,
virtually,事実上・実質的には,The town was virtually empty during the winter.,その町は冬の間、事実上無人だった。,almost,
fury,激しい怒り・猛威,The storm hit the coast with great fury.,嵐は激しい勢いで海岸を襲った。,rage,
inflict,（苦痛・損害などを）与える、負わせる,The policy inflicted serious harm on small businesses.,その政策は中小企業に深刻な損害を与えた。,impose,
leisurely,"のんびりした・ゆったりした
のんびりと、ゆっくりと",They took a leisurely walk through the campus.,彼らはキャンパスをのんびり散歩した。,relaxed,
deserted,人けのない・寂れた・見捨てられた,The station looked deserted late at night.,夜遅く、その駅は人けがなかった。,abandoned,
lone,たった一人の・孤独の,A lone student stayed in the library after midnight.,一人の学生だけが深夜まで図書館に残った。,solitary,
roll in,押し寄せる・転がり込む,Tourists began to roll in during the summer.,夏になると観光客が押し寄せ始めた。,pour in,
alone,～だけで,The experiment was conducted alone.,その実験は一人で行われた。,by oneself,
dice with death,命がけの行為・危険なかけ,Driving at such speed is like dicing with death.,そのような速度で運転するのは命がけだ。,risk one’s life,
inviting,とても魅力的な,The idea sounded inviting to many students.,その考えは多くの学生にとって魅力的に聞こえた。,appealing,
arsenal,武器・兵器,The country expanded its military arsenal.,その国は軍事兵器を拡充した。,weaponry,
power grid,送電網,The power grid failed during the blackout.,停電の間、送電網が停止した。,electric grid,
neutralize,"無効にする・中和する・無力化する
中立になる・中性になる・無効になる",The vaccine helped neutralize the virus.,そのワクチンはウイルスを無力化するのに役立った。,counteract,
bear up,耐える・持ちこたえる,She tried to bear up under the pressure.,彼女はそのプレッシャーに耐えようとした。,endure,
grid,格子・焼き網・配管網・送電網,The city’s grid was carefully planned.,その都市の配管網は慎重に計画されていた。,network,
cause + 目的語 + to不定詞,「～を…させる」「～に…させる」,The delay caused the meeting to start late.,遅延のため会議は遅れて始まった。,lead,
stream of,絶え間なく・次々とくる,There was a steady stream of complaints.,苦情が絶え間なく寄せられた。,continuous flow of,
invest,投資する・出資する,Many companies invest in renewable energy.,多くの企業が再生可能エネルギーに投資している。,put money into,
put ~ at risk,～を危険にさらす,The decision put lives at risk.,その決定は命を危険にさらした。,endanger,
promising,前途有望な・見込みのある・期待できる,The young researcher showed promising results.,その若い研究者は有望な結果を示した。,hopeful,
according to plan,計画通り,The project progressed according to plan.,そのプロジェクトは計画通り進んだ。,as scheduled,
all the way up to,「～までずっと」「完全に～に達するまで」,The road was flooded all the way up to the bridge.,道路は橋のところまでずっと浸水していた。,right up to,
uncontrollable,制御不能な・コントロールできない,He showed uncontrollable anger.,彼は制御不能な怒りを見せた。,unmanageable,
surge,"急上昇・電圧変化
急上昇する・急騰する",There was a sudden surge in demand.,需要が急上昇した。,spike,
brewing,（嵐・対立・問題などが）発生しつつある、進行中の,There was tension brewing among the team.,チーム内で緊張が高まりつつあった。,developing,
beam,"〔光・電波などを〕発する

ビーム",The lighthouse beamed light across the sea.,灯台は海に向けて光を放っていた。,emit,"beam up""
• 直訳：「光線を上に向ける」「ビームを発射する」"
stumble,つまずく・よろめく・口ごもる・めぐり合う,He stumbled on the uneven path.,彼はでこぼこの道でつまずいた。,trip,
stumbling block,〔進行・進展などを妨げる〕障害,Lack of funding became a stumbling block.,資金不足が障害となった。,obstacle,
nifty,便利な・扱いやすい・しゃれた・かっこいい,This app has a nifty design.,このアプリは便利なデザインだ。,handy,
is in the offing,もうすぐ実現しそうだ,A major change is in the offing.,大きな変化がもうすぐ起こりそうだ。,forthcoming,
take up,〔物が空間を〕占める、取る,The equipment takes up too much space.,その機器はスペースを取りすぎる。,occupy,
come up with,考え出す・資金を調達する,They came up with a new solution.,彼らは新しい解決策を考え出した。,devise,
yet + 比較級,「さらに～」「より一層～」,The situation became yet worse.,状況はさらに悪化した。,even,"yet + 比較級さらに～
The lasers must be yet smaller. （レーザーはさらに小さくなる必要がある。）
even + 比較級予想以上にさらに～The lasers must be even smaller. （レーザーは予想以上にさらに小さくなる必要がある。）"
an avalanche of ～,"「雪崩のような大量の～」（比喩表現）

",The office received an avalanche of emails.,オフィスには雪崩のようなメールが届いた。,a flood of,
avalanche,雪崩,The avalanche blocked the mountain road.,雪崩が山道をふさいだ。,snow slide,
hail,雹,The crops were damaged by hail.,作物は雹によって被害を受けた。,ice pellets,
interactive,相互に作用する・双方向の,The course uses interactive methods.,その授業は双方向の方法を用いている。,engaging,
meteorology,気象学,She decided to study meteorology.,彼女は気象学を学ぶことにした。,climatology,
torrential,川などが〕急流の・〔雨が〕土砂降りの,The region experienced torrential rain.,その地域は土砂降りの雨に見舞われた。,heavy,ゲリラ豪雨
induce,説得する・勧誘する・誘発する・誘導する,The drug may induce sleep.,その薬は睡眠を誘発する可能性がある。,trigger,
hailstone,あられ・ひょう,The window was cracked by a hailstone.,窓はひょうで割れた。,ice pellet,
strike back,反撃する,The army prepared to strike back.,軍は反撃の準備をした。,retaliate,
have an interest in ,～に興味［関心］がある・ ～に利害関係を持つ,I have an interest in environmental studies.,私は環境学に関心がある。,be interested in,
cult,カルト・信仰・教団,The group was labeled a dangerous cult.,その集団は危険なカルトと見なされた。,sect,
prodigy,神童・天才,The child was known as a prodigy.,その子どもは神童として知られていた。,whiz kid,
genius,天才,Many consider her a genius.,多くの人が彼女を天才だと考えている。,brilliant mind,
be concerned with,～に関係している・～に携わっている・～に関心がある,The book is concerned with social issues.,その本は社会問題を扱っている。,deal with,
divinity,神,Ancient people believed in divinity.,古代の人々は神を信じていた。,deity,
perpetuate,～を長続きさせる・永続させる,The system tends to perpetuate inequality.,その制度は不平等を長続きさせがちだ。,prolong,
came to + 動詞の原形,「徐々に～するようになる」「ある状態に至る」,He came to understand the problem.,彼はその問題を徐々に理解するようになった。,gradually begin to,come to・・・（合計が）～になる
thence,そこから・その時から,The river flows north and thence to the sea.,その川は北へ流れ、そこから海へ至る。,from there,
attribute,"資質・特質・特性・性格・属性
結果であると考える・～に起因すると考えられる",Patience is an important attribute of teachers.,忍耐は教師にとって重要な資質だ。,characteristic,
derive,〔本源から〕引き出す、導き出す、得る・〔～の〕由来をたどる,Many words derive from Latin.,多くの単語はラテン語に由来する。,obtain,
guiding,〔人・物・集団などを〕導く、誘導する、指導する,Teachers play a guiding role.,教師は導く役割を果たす。,leading,
astrology,星占い・占星術,Some people believe in astrology.,占星術を信じる人もいる。,horoscope,
look to,頼る・求める,Students often look to mentors for advice.,学生は助言を求めて指導者を頼ることが多い。,rely on,
gene,遺伝子,Scientists study the role of each gene.,科学者は各遺伝子の役割を研究している。,DNA,
genestic,遺伝子学,Genetics explains how traits are inherited.,遺伝学は特性がどのように受け継がれるかを説明する。,genetics,
exceptional,例外的な・非常に優れた,She showed exceptional ability.,彼女は例外的な能力を示した。,outstanding,
in the hope of ～ing,～することを期待して,He studied abroad in the hope of improving his English.,彼は英語力を向上させることを期待して留学した。,with the aim of,
gift,才能・資質,Music was his natural gift.,音楽は彼の生まれ持った才能だった。,talent,
folk,民間の・民族の,Folk traditions are still practiced.,民間の伝統は今も実践されている。,traditional,
ambivalent,相違する感情を持った・両義的な,She felt ambivalent about the decision.,彼女はその決断に相反する感情を抱いていた。,conflicted,
mistrust,"信用しない・疑う

不信・疑惑・疑念",There is mistrust between the two groups.,二つの集団の間には不信感がある。,distrust,
