単語,意味,例文,例文の訳,類義語,メモ
cavitation,キャビテーション,The engineer studied cavitation to prevent damage in pumps.,技師はポンプの損傷を防ぐためにキャビテーションを研究した。,bubble formation,空洞現象
submerged,水中にある・沈んだ,The diver explored the submerged ruins of the old city.,ダイバーは古い都市の水中遺跡を探索した。,underwater,
vibration,振動・震え,The machine's vibration made it hard to work nearby.,機械の振動のせいで近くで作業するのが難しかった。,shaking,
debris,破片・瓦礫・残骸,"After the storm, debris was scattered across the streets.",嵐の後、瓦礫が通り中に散らばっていた。,wreckage,
robust,強靭な・頑丈な,The bridge was built to be robust against earthquakes.,その橋は地震に強く建てられた。,strong,
probe,"探る・調査する

調査・探査器",The scientist used a probe to investigate the soil.,科学者は土壌を調査するために探査器を使った。,investigate,
soar,"急上昇する・急騰する
飛翔すること",The bird began to soar high above the mountains.,鳥は山の上空へと高く飛び始めた。,rise,
compensate,相殺する・補う,The company offered extra hours to compensate for the delay.,会社は遅延を補うために追加勤務を提供した。,make up,
brink,縁・瀬戸際,The explorer stood on the brink of the cliff.,探検家は崖の縁に立った。,edge,on the brink of ~: 「～の寸前で」「～の瀬戸際に」
Solar System,太陽系,The planets in the Solar System orbit the Sun.,太陽系の惑星は太陽の周りを回っている。,planetary system,
incredibly,信じられないほど・非常に,The view from the mountain was incredibly beautiful.,山からの眺めは信じられないほど美しかった。,extremely,
application,応用・申し込み・申請,She submitted her application for the scholarship.,彼女は奨学金の申請を提出した。,request,
By means of,〜を使って,"By means of computers, data can be processed faster.",コンピュータを使って、データはより早く処理できる。,through,
astonishing,驚くべき・素晴らしい・驚異的な,The discovery was astonishing to the research team.,その発見は研究チームにとって驚くべきものだった。,amazing,
instruct,指示する・教える,The teacher will instruct the students on how to conduct the experiment.,教師は学生に実験のやり方を指示する。,teach,
shun,避ける,Some people shun processed food for health reasons.,健康上の理由で加工食品を避ける人もいる。,avoid,
convey,伝える・運ぶ,The sign was meant to convey a warning to drivers.,その標識は運転者に警告を伝えるためのものだった。,communicate,
inveigle,巧みに誘導する・騙す,He tried to inveigle his colleagues into agreeing with him.,彼は同僚を巧みに誘導して賛成させようとした。,entice,
acclaim,"称賛する・歓迎する

称賛・絶賛",The book received critical acclaim from reviewers.,その本は批評家から絶賛を受けた。,praise,
prestigious,名声のある・一流の・高い評価を受けている,He graduated from a prestigious university.,彼は名声のある大学を卒業した。,renowned,
vague,曖昧な・ぼんやりとした,Her explanation was vague and confusing.,彼女の説明は曖昧で分かりにくかった。,unclear,
triumph,"勝利・大成功
勝利する",The team celebrated their triumph after winning the match.,チームは試合に勝利した後、勝利を祝った。,victory,
light years away from,～から非常に離れている,The nearest star is light years away from Earth.,最も近い恒星は地球から光年離れている。,far away,
