単語,意味,例文,例文の訳,類義語,メモ
It was only with ～ that …,～によって初めて…が可能になった」（強調構文）・「～がなければ…は起こらなかった」,It was only with teamwork that the project succeeded.,チームワークによって初めてプロジェクトは成功した。,teamwork,「強調構文」＋「因果関係・条件のニュアンス」＝ より制約が強い表現
if,"たとえ～でも」 という譲歩の意味

","If you study hard, you can pass the exam.",たとえ一生懸命勉強しても、試験に合格できる。,even if,（彼は親しみやすい、とはいえ少し恥ずかしがり屋だ。）
carry out,実施する,The scientists carried out an experiment to test the hypothesis.,科学者たちは仮説を検証するために実験を実施した。,conducted,
if still not always,ある程度改善されたが、それでも完全とは言えない,"The method is improved, if still not always perfect.",方法は改善されたが、それでも完全とは言えない。,still not always,
but,"""only""（～にすぎない）と同じ意味",The difference between the two solutions is but minor.,その違いはほんのわずかに過ぎない。,only,
stand out,際立つ・目立つ・突き出る,Her bright idea made her stand out among her peers.,彼女の斬新なアイデアは同僚の中で際立った。,prominent,
vantage,見晴らしの良い地点、有利、優越、優勢な地位、利益,The soldier reached a vantage point to observe the battlefield.,兵士は戦場を観察するために有利な地点に到達した。,advantage,
continuum,連続したつながり・連続体,History exists on a continuum from past to present.,歴史は過去から現在への連続体として存在する。,sequence,コンティニューアム
mundane,この世の・平凡な・ありふれた,He finds mundane tasks boring at work.,彼は仕事で平凡な作業を退屈だと感じる。,ordinary,マンデイン
mediocre,〔質・能力などが〕平凡な、二流の、あまり良くない、可もなく不可もない,His performance in the test was mediocre.,彼のテストの成績は平凡だった。,average,ミーディオーカ
incapable,能力がない・無能な・無資格の,She is incapable of solving this difficult problem alone.,彼女はこの難しい問題を一人で解く能力がない。,unable,
reach back through A to B,A を経て B にさかのぼる（連続性を示す）,The story reaches back through history to ancient Rome.,その物語は古代ローマにまでさかのぼる。,trace back,
observation,観察・所見・見解,Careful observation revealed the bird’s behavior.,注意深い観察によって鳥の行動が明らかになった。,inspection,
marvel,"驚くべきこと・驚異
驚く、驚嘆する",They marveled at the technological invention.,彼らは技術革新に驚嘆した。,wonder,marvel at・・・～に驚嘆する
manifestation,明らかにすること・明示・表明,The treaty was a manifestation of international cooperation.,その条約は国際協力を明示するものだった。,expression,
hard-won,苦労して・やっと得た,The victory was hard-won after many challenges.,勝利は多くの困難を経て苦労して得られたものだった。,difficult-earned,
commonplace knowledge,（かつては特別だったが、今では広く知られている知識）常識,This is now commonplace knowledge among scientists.,これは今では科学者の間で常識となっている。,common knowledge,"「常識」を表す単語は ""common knowledge"" が最も一般的で広く使われる。"
