単語,意味,例文,例文の訳,類義語,メモ
equinox,昼夜平分時、春分、秋分,The equinox occurs in March when day and night are almost equal.,春分（または秋分）は、昼と夜の長さがほぼ等しくなる3月に起こる。,equality,
disseminate,〔情報・思想などを〕広める,The teacher disseminated important information to the students.,教師は重要な情報を生徒たちに広めた。,spread,
in use,使用中,"The computer is currently in use, so please wait.",そのコンピューターは現在使用中なので、待ってください。,being used,
pyramid,ピラミッド,The pyramid in Egypt attracts many tourists every year.,エジプトのピラミッドは毎年多くの観光客を引きつける。,monument,
The conventional picture is that 〜,「従来のイメージは〜ということだ」,The conventional picture is that people learn best in a classroom.,従来のイメージは、人は教室で最もよく学ぶということだ。,The common view is that,
tens of thousands of,何万もの,Tens of thousands of people attended the music festival.,何万もの人々がその音楽祭に参加した。,many thousands of,
sledge,そり,The children pulled the sledge across the snow.,子どもたちは雪の上でそりを引いた。,sleigh,
There is no evidence to back this up.,これを裏付ける証拠は存在しない,"There is no evidence to back this up, according to the report.",報告書によると、これを裏付ける証拠は存在しない。,There is no proof to support this.,
kite,凧,The child flew a kite in the strong wind.,子どもは強い風の中で凧を揚げた。,toy kite,
peruse,詳細に調べる・熟読する,She perused the document carefully before signing it.,彼女は署名する前にその書類を熟読した。,examine,読み方ペリューズ
a row of,一列に並んだ,A row of houses lines the quiet street.,静かな通りに家が一列に並んでいる。,a line of,
hieroglyph,象形文字,The wall was covered with ancient hieroglyphs.,壁は古代の象形文字で覆われていた。,pictograph,
posture,姿勢・位置・態度,Good posture is important when sitting at a desk.,机に座るときには良い姿勢が重要だ。,stance,
what,（名詞節で）～なもの・こと,What he said surprised everyone in the room.,彼が言ったことは部屋にいた全員を驚かせた。,that which,
some kind of ,何らかの・何かの・ある種の,They built some kind of shelter near the river.,彼らは川の近くに何らかの避難所を作った。,a type of,
wonder if,～ではないかと思う・～かどうか不思議に思う,I wonder if this is the right answer.,これが正しい答えなのかどうかと思う。,wonder whether,
intrigue,興味を引き付ける,The mystery story intrigued the readers.,そのミステリー小説は読者の興味を引いた。,fascinate,
aeronatics,航空学・航空術,He studied aeronatics at a technical university.,彼は工科大学で航空学を学んだ。,aeronautics,
keen interest in,～への強い関心,She has a keen interest in history.,彼女は歴史に強い関心を持っている。,strong interest in,
set oneself the task of doing,～することを自分の仕事にする・～を目標にする,He set himself the task of finishing the project early.,彼はその仕事を早く終えることを自分の目標にした。,set oneself a goal of doing,
stone column,石柱,A stone column stood at the entrance of the temple.,寺院の入口に石柱が立っていた。,stone pillar,
scale-model,縮尺模型,The museum displayed a scale-model of the ship.,博物館はその船の縮尺模型を展示していた。,model,
modest,控えめな・ささやかな,They live a modest life in the countryside.,彼らは田舎で控えめな生活を送っている。,simple,
sustain,持続する・維持する,Trees help sustain life on Earth.,木々は地球上の生命を維持するのに役立っている。,maintain,
do,「役に立つ」「間に合う」「目的を果たす」,This chair will do for now.,この椅子は今のところ役に立つ。,be sufficient,
pulley,滑車,The pulley made it easier to lift the heavy box.,滑車によって重い箱を持ち上げるのが簡単になった。,wheel,
magnify,拡大する・大きく見せる,The microscope can magnify small objects.,その顕微鏡は小さな物体を拡大できる。,enlarge,
rig up,急いで作る,They rigged up a simple tent before dark.,彼らは暗くなる前に簡単なテントを急いで作った。,put together,
scaffold,足場,Workers stood on the scaffold to repair the building.,作業員たちは建物を修理するために足場に立っていた。,platform,
apex,頂点・先端・最高点,The climber reached the apex of the mountain.,登山者は山の頂点に到達した。,peak,
trolly,台車,He pushed the boxes on a trolly.,彼は台車で箱を押した。,cart,
put ~ to the test,〜を試す,The scientist put the theory to the test.,科学者はその理論を試した。,test,
sail,帆,The sail caught the wind and moved the boat.,帆が風を受けて船が進んだ。,canvas,
unlikely,ありそうもない・可能性が低い,It is unlikely that it will snow today.,今日雪が降る可能性は低い。,improbable,
stunned,唖然と,He was stunned by the sudden news.,彼は突然の知らせに唖然とした。,shocked,
The instant ~,〜した瞬間,"The instant the bell rang, the students left.",ベルが鳴った瞬間、生徒たちは教室を出た。,the moment,
at,速度や割合を表す前置詞として,The car was traveling at 60 kilometers per hour.,その車は時速60キロで走っていた。,per,
gentle,穏やかな・優しい,A gentle breeze cooled the hot afternoon.,穏やかなそよ風が暑い午後を和らげた。,mild,
fail to reckon with,〜を予測していなかった、考慮していなかった,They failed to reckon with the cost of repairs.,彼らは修理費用を考慮していなかった。,fail to consider,
steady state,定常状態,The machine operates best in a steady state.,その機械は定常状態で最もよく作動する。,stable condition,
jerk,急激な力・衝撃,There was a sudden jerk when the train stopped.,列車が止まったときに急な衝撃があった。,jolt,
or so,～かそこらで,It will take a week or so to finish.,終わるまでに1週間ほどかかるだろう。,approximately,
no better or worse than,良くも悪くもない,The result was no better or worse than expected.,結果は予想と良くも悪くもなかった。,neither better nor worse than,
brute force,強引な・力ずくで,They used brute force to open the door.,彼らは力ずくでドアを開けた。,raw force,
unconvinced,納得していない,She remained unconvinced by his explanation.,彼女は彼の説明に納得していなかった。,not persuaded,
have left,現在完了形「〜の状態にしてきた」,The storm has left the town without power.,その嵐は町を停電した状態にしてきた。,have resulted in,
non-existent,存在しない,The idea of free travel is non-existent here.,無料で移動できるという考えはここでは存在しない。,absent,
there is more of a case for ~,〜にはより説得力があると感じる,There is more of a case for renewable energy.,再生可能エネルギーの方がより説得力がある。,there is stronger support for,
harness,〔自然力を〕役立てる、生かす、利用する,The dam harnesses the power of the river.,そのダムは川の力を利用している。,utilize,
accomplished,熟練した・成し遂げられた,He is an accomplished musician.,彼は熟練した音楽家だ。,skilled,
uncannily,不思議なほどに・不気味なほどに・異様に,The twins looked uncannily alike.,その双子は不思議なほどよく似ていた。,strangely,
dates from,〜の時代にさかのぼる,The building dates from the 18th century.,その建物は18世紀にさかのぼる。,originates from,
sophistication,精巧さ・高度な知識・啓蒙,The phone shows a high level of sophistication.,その携帯電話は高度な精巧さを示している。,advancement,
