単語,意味,例文,例文の訳,類義語,メモ
proliferate,急増する・大幅に増加する,The number of smartphones has begun to proliferate in developing countries.,途上国でスマートフォンの数が急増し始めた。,multiply,
soar,急上昇する・急騰する・〔希望などの度合いが〕高まる、膨らむ,The cost of living continues to soar in major cities around the world.,世界の主要都市で生活費が急上昇し続けている。,rise,
steep,急勾配の・険しい,The hikers struggled to climb the steep hill near the river.,ハイカーたちは川の近くの急な丘を登るのに苦労した。,sharp,
A gives way to B,A が終わり、B が始まる,"After the summer festival gives way to autumn, the weather becomes cooler.",夏祭りが終わり秋に移ると、天気は涼しくなる。,transition,
regime,体制・政権,The new regime promised to improve the education system.,新しい政権は教育制度の改善を約束した。,government,
mark A by B,「A を B によって示す / 特徴付ける,The teacher marked each essay by its clarity and structure.,教師は各エッセイを明確さと構成によって評価した。,assess,受動態（be marked by B） で使われることが多く、「A は B によって特徴付けられる」 という意味になる。
become + 形容詞,〜になる,"Over time, the children become more confident in speaking English.",時間が経つにつれて、子供たちは英語を話す自信がついてきた。,grow,
evoke,引き起こす・呼び起こす,The movie evoked strong feelings of nostalgia among the audience.,その映画は観客の間に強い郷愁の感情を呼び起こした。,trigger,
scent,香り・嗅覚・直感,The kitchen was filled with the scent of fresh bread.,台所は焼きたてのパンの香りで満ちていた。,aroma,
joy,喜び・歓喜,Winning the scholarship brought her great joy.,奨学金を受け取ることは彼女に大きな喜びをもたらした。,happiness,
foul,〔匂いが〕嫌な・鼻につく・不快な,A foul smell came from the abandoned building.,廃屋から嫌な臭いが漂ってきた。,stinky,
odor,悪臭・匂い,The room had an unpleasant odor that made everyone leave quickly.,その部屋には不快な臭いがあり、皆すぐに出て行った。,smell,
grimace,"顔をしかめる
しかめっ面・顔のゆがみ",He made a grimace when he tasted the sour lemon.,彼は酸っぱいレモンを味わったとき顔をしかめた。,frown,
disgust,"嫌悪感・反感
気分を悪くさせる",The report caused disgust among the local community.,その報告は地域社会に嫌悪感を引き起こした。,revulsion,
respondent,回答者,Each respondent answered the survey honestly.,各回答者はアンケートに正直に答えた。,participant,
note,指摘する・気づく・書き留める,The researcher noted the differences between the two groups.,研究者は二つのグループの違いに気づいた。,observe,
such,そのような,Such problems need immediate attention from the authorities.,そのような問題は当局の即時の対応が必要である。,that,
agreeable,心地よい・好ましい・喜んで同意する,The weather was agreeable for a picnic in the park.,天気は公園でのピクニックに心地よかった。,pleasant,
unpleasant,不快な・不愉快な,The hotel room was unpleasant and needed cleaning.,ホテルの部屋は不快で清掃が必要だった。,uncomfortable,
fragrant,いい香りの・芳香性の,The garden was full of fragrant flowers in spring.,庭には春に芳香の花がいっぱい咲いていた。,aromatic,
consist of,～からなる,The committee consists of ten members from different departments.,委員会は異なる部門からなる10人のメンバーで構成されている。,be composed of,
cue,手がかり・合図,The teacher gave the students a cue to start their presentations.,教師は生徒たちに発表を始める合図を与えた。,signal,
spouse,配偶者,Her spouse supported her decision to study abroad.,彼女の配偶者は海外留学の決定を支持した。,partner,
alone,～だけで,He prefers to work alone on important projects.,彼は重要なプロジェクトを一人で進めることを好む。,individually,
subject,被験者・科目・主題,The subject of the study was young adults aged 18 to 25.,研究の対象は18歳から25歳の若者であった。,topic,
give thought to ~,「〜について考える」・「〜に思いを巡らせる」,"Before making a decision, you should give thought to all the options.",決定を下す前に、すべての選択肢について考えるべきだ。,consider,「深く考える」「熟考する」というニュアンスを含むことが多い
consciously,意識的に・故意に,She consciously avoided eating too much sugar for her health.,彼女は健康のために意識的に砂糖の摂取を控えた。,deliberately,
In spite of ~,〜にもかかわらず,"In spite of the rain, the event continued as planned.",雨にもかかわらず、イベントは予定通り続行された。,despite,
sensory,感覚の・感覚的な,The exhibition focused on sensory experiences of art and music.,展示会は芸術と音楽の感覚的な体験に焦点を当てた。,perceptual,
undervalue,過小評価する・低く見積もる・軽んじる,People often undervalue the contribution of volunteers.,人々はボランティアの貢献を過小評価することが多い。,underrate,
regard,評価・尊重・見方,The teacher regarded her students with respect and kindness.,教師は生徒たちを尊重と優しさをもって評価した。,view,
feeble,弱い・薄弱な,The patient's feeble pulse indicated a serious problem.,患者の弱い脈は深刻な問題を示していた。,weak,
olfactory,嗅覚の,Olfactory senses are important for detecting danger in the environment.,嗅覚は環境で危険を感知するために重要である。,smell-related,
fine,優れている・繊細な,The artist has a fine eye for detail in his paintings.,その芸術家は絵画の細部に優れた目を持っている。,excellent,
acute,鋭い・敏感な,She has an acute sense of hearing and notices every sound.,彼女は鋭い聴覚を持ち、あらゆる音に気づく。,keen,
elusive,つかみどころのない・覚えずらい・見つけずらい,The concept of happiness can be elusive and difficult to define.,幸福の概念はつかみどころがなく、定義が難しい場合がある。,hard-to-grasp,
nor,〜もまた〜ない,Neither the teacher nor the students knew the answer.,教師も生徒も答えを知らなかった。,neither,"""Nor""（〜もまた〜ない） が文頭に来ると、倒置が必要になるルールがある。"
In the realm of ~,（〜の領域において）,"In the realm of science, experiments must be repeatable.",科学の領域において、実験は再現可能でなければならない。,in the field of,特定の分野や領域を指す表現。
make do with ~,「〜で間に合わせる ・仕方なく受け入れる」,"During the trip, we had to make do with limited resources.",旅行中、限られた資源でやりくりしなければならなかった。,make do,
recollection,記憶・想起・回想,Her recollection of childhood memories was vivid and detailed.,彼女の子供時代の記憶は鮮明で詳細だった。,memory,
 have an implication for,～に影響がある,The new law will have an implication for all local businesses.,新しい法律はすべての地元企業に影響を及ぼすだろう。,affect,
to date,これまでに・現在までに,"To date, no solution has been found for the problem.",これまでのところ、この問題に対する解決策は見つかっていない。,so far,
advance,進歩・前進,Medical research has made great advance in recent years.,医療研究は近年大きな進歩を遂げている。,progress,
have still to do,まだ～していない,The team has still to do the final analysis of the results.,チームはまだ結果の最終分析を行っていない。,still need to,
proper,本来の・正確な・適した,Proper training is necessary before using the equipment.,適切な訓練は機器を使用する前に必要である。,correct,
register,感知する・検知する・登録する,The device can register small changes in temperature.,その装置は微小な温度変化を感知できる。,detect,
objectively,客観的に,Scientists aim to evaluate data objectively without bias.,科学者は偏りなくデータを客観的に評価することを目指す。,impartially,
given,〜を考慮すると,"Given the high demand, prices are likely to increase.",需要が高いことを考慮すると、価格は上昇する可能性が高い。,considering,
be set to + 動詞,〜する予定である、確実に〜する,The train is set to depart at 9 a.m.,列車は午前9時に出発する予定である。,scheduled to,
inevitably,必然的に,Accidents inevitably occur when safety rules are ignored.,安全規則を無視すると事故は必然的に起こる。,unavoidably,
play a role,役割を果たす,Teachers play a role in shaping students' values.,教師は生徒の価値観形成に役割を果たす。,contribute,
be likely to + 動詞,〜しそうである（可能性が高い）,Young children are likely to imitate their parents' behavior.,幼い子供は親の行動を真似しやすい。,tend to,
be expected to + 動詞,〜すると予想されている,Students are expected to submit essays by Friday.,学生は金曜日までにエッセイを提出することが期待されている。,expected to,
hence,したがって・それゆえに・この理由で,"Hence, the experiment was repeated to ensure accuracy.",したがって、実験は正確性を確認するために繰り返された。,therefore,
invest A with B,AにBを与える,The teacher invested the students with confidence to speak in public.,教師は生徒たちに人前で話す自信を与えた。,empower,
a means of ~,〜の手段,Online courses provide a means of learning from home.,オンラインコースは自宅で学ぶ手段を提供する。,a way of,
